, ,Area,Mean,Min,Max,Skew,IC,KT,image,Perim.,BX,BY,Width,Height,IntDen,RawIntDen,location,Radius
265,69,0.17,89.34,60,151,0.754,0,1,6,1.792,16.055,26.397,0.541,0.541,15.182,4199.0,KT,0.233
266,70,0.047,119.769,85,168,0.476,0,1,6,0.751,16.897,25.676,0.301,0.18,5.63,1557.0,KT,0.122
267,71,0.025,168.714,131,202,-0.172,0,0,6,0.545,30.907,17.077,0.18,0.18,4.27,1181.0,nonIC,0.089
268,72,0.054,129.133,104,174,0.549,0,0,6,0.956,30.907,16.596,0.241,0.361,7.003,1937.0,nonIC,0.131
269,73,0.061,127.529,101,160,0.179,0,0,6,0.921,40.708,24.954,0.361,0.241,7.839,2168.0,nonIC,0.139
270,74,0.051,136.357,112,168,0.457,0,0,6,0.786,41.189,24.954,0.301,0.18,6.902,1909.0,nonIC,0.127
271,75,0.09,132.92,109,183,0.884,0,0,6,1.396,39.385,25.014,0.421,0.421,12.015,3323.0,nonIC,0.169
272,76,0.025,116.714,100,138,0.448,1,0,6,0.51,40.047,24.954,0.18,0.18,2.954,817.0,IC,0.089
273,77,0.033,175.333,127,238,0.543,0,0,6,0.595,29.043,33.132,0.241,0.18,5.705,1578.0,nonIC,0.102
274,78,0.069,133.263,114,165,0.574,0,0,6,1.006,29.283,33.372,0.361,0.301,9.155,2532.0,nonIC,0.148
275,79,0.025,126.857,113,150,0.678,0,0,6,0.545,29.343,33.793,0.18,0.18,3.211,888.0,nonIC,0.089
276,80,0.047,122.231,92,172,0.649,1,0,6,0.836,29.464,34.154,0.301,0.241,5.745,1589.0,IC,0.122
277,81,0.101,114.321,93,143,0.365,0,0,6,1.431,29.704,34.635,0.481,0.421,11.574,3201.0,nonIC,0.179
