, ,Area,Mean,Min,Max,Skew,IC,KT,image,Perim.,BX,BY,Width,Height,IntDen,RawIntDen,location,Radius
56,57,0.025,231.714,209,260,0.365,0,1,3,,,,,,,,KT,0.089
57,58,0.199,153.6,94,258,0.268,1,0,3,,,,,,,,IC,0.252
58,59,0.054,170.533,126,226,0.088,1,0,3,,,,,,,,IC,0.131
59,60,0.047,182.0,146,231,0.666,1,0,3,,,,,,,,IC,0.122
60,61,0.051,116.714,93,151,0.416,0,1,3,,,,,,,,KT,0.127
61,62,0.018,159.0,131,198,0.278,0,0,3,,,,,,,,nonIC,0.076
62,63,0.177,128.98,91,217,0.814,1,0,3,,,,,,,,IC,0.237
63,64,0.04,113.0,81,156,0.241,0,0,3,,,,,,,,nonIC,0.113
64,65,0.014,119.5,103,141,0.416,0,0,3,,,,,,,,nonIC,0.067
65,66,0.152,135.952,68,270,0.699,1,0,3,,,,,,,,IC,0.22
66,67,0.054,118.067,79,207,0.939,0,0,3,,,,,,,,nonIC,0.131
67,68,0.036,117.1,80,158,0.115,0,0,3,,,,,,,,nonIC,0.107
68,69,0.025,144.571,118,162,-0.436,0,0,3,,,,,,,,nonIC,0.089
69,70,0.022,147.0,122,185,0.408,0,0,3,,,,,,,,nonIC,0.084
70,71,0.116,156.594,113,225,0.52,1,0,3,,,,,,,,IC,0.192
71,72,0.036,142.8,129,169,0.651,0,1,3,,,,,,,,KT,0.107
72,73,0.029,127.125,103,144,-0.539,0,0,3,,,,,,,,nonIC,0.096
73,74,0.018,107.8,82,124,-0.691,0,0,3,,,,,,,,nonIC,0.076
74,75,0.025,210.714,171,277,0.814,1,0,3,,,,,,,,IC,0.089
75,76,0.108,124.4,99,167,0.753,1,0,3,,,,,,,,IC,0.185
76,77,0.043,157.25,127,202,0.5,1,0,3,,,,,,,,IC,0.117
77,78,0.018,138.0,116,153,-0.766,0,0,3,,,,,,,,nonIC,0.076
78,79,0.018,154.2,132,167,-0.537,0,0,3,,,,,,,,nonIC,0.076
