rand_ID,cpc,cohesin,e,time,chr_length,distances
11,0.125,0.09,0.0089,0.003262,2.765980,[0.379362333415578 0.421056581299898 0.41369226435101 0.174867151457279 0.333164045296619 0.583732141870753 0.625833218052506 0.322137717713152 0.52926864448422 0.113065723088093 0.381114790790075 0.487930794188037] 
13,0.12,0.09,0.0089,0.018953,2.705850,[] 
13,0.12,0.09,0.0089,0.003793,1.262730,[0.872227596747469 0.53065865723021 0.353084228642232] 
13,0.12,0.09,0.0089,0.004028,4.389490,[0.134045994560535 0.374103018722127 0.389942364355084 0.486659509214954 0.43577900831561 0.367864835419457 0.313665039707773 0.558562557039696 0.53065865723021 0.353084228642232 0.436849724440808 0.605649443073774 0.0239357474852959 0.610381784417478 0.449234609375677] 
13,0.12,0.09,0.0089,0.002957,1.623510,[0.367864835419457 0.313665039707773 0.558562557039696 0.53065865723021 0.353084228642232 0.436849724440808 0.315142566998951] 
13,0.12,0.09,0.0089,0.004259,2.465330,[0.486659509214954 0.43577900831561 0.367864835419457 0.313665039707773 0.558562557039696 0.53065865723021 0.353084228642232 0.436849724440808 0.605649443073774 0.0239357474852959] 
13,0.12,0.09,0.0089,0.005046,2.645720,[0.389942364355084 0.486659509214954 0.43577900831561 0.367864835419457 0.313665039707773 0.558562557039696 0.53065865723021 0.353084228642232 0.436849724440808 0.605649443073774 0.0239357474852959 0.610381784417478] 
13,0.12,0.09,0.0089,0.005885,2.826110,[0.389942364355084 0.486659509214954 0.43577900831561 0.367864835419457 0.872227596747469 0.53065865723021 0.353084228642232 0.436849724440808 0.605649443073774 0.0239357474852959 0.610381784417478] 
13,0.12,0.09,0.0089,0.009520,3.186890,[0.898091377637746 0.486659509214954 0.43577900831561 0.367864835419457 0.872227596747469 0.883742885872442 0.436849724440808 1.68920158435222] 
13,0.12,0.09,0.0089,0.009488,3.667930,[0.508149013282662 0.389942364355084 0.486659509214954 0.43577900831561 0.367864835419457 0.872227596747469 0.883742885872442 0.436849724440808 1.68920158435222] 
13,0.12,0.09,0.0089,0.006523,2.224810,[0.486659509214954 0.43577900831561 0.367864835419457 0.872227596747469 0.883742885872442 0.436849724440808 0.605649443073774 0.0239357474852959] 
13,0.12,0.09,0.0089,0.007527,2.765980,[0.389942364355084 0.486659509214954 0.43577900831561 0.367864835419457 0.872227596747469 0.883742885872442 0.436849724440808 0.605649443073774 0.0239357474852959 0.610381784417478] 
3,0.12,0.09,0.0089,0.026787,2.705850,[] 
3,0.12,0.09,0.0089,0.021095,1.262730,[] 
