cpc,cohesin,e,time,distances

0.1,0.06,0.0075,NaN,[0.485743420709384 0.374802845612167 0.0587289027517329 0.124674601773757 0.121555453950204 0.134151567141648 0.113806392783714 0.015103245724006 0.121775727586378 0.130765417397977 0.286480949446937 0.367976581831124 0.0333807665207573 0.162684582541128 0.224523635670784 0.483612473212332 0.140232417615362 0.166255263675687 0.441423034280167 0.20079368827005 0.0116928569782239 0.234604915014457 0.12478120224427 0.193850169351235 0.438754959100222 0.18327119889279 0.329691562084298 0.450630340909792] 
0.1,0.06,0.0075,5.645752e-04,[0.485743420709384 0.4335317483639 0.246230055723961 0.134151567141648 0.381450783492075 0.286480949446937 0.401357348351881 0.387208218211912 0.483612473212332 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.512962760977089 0.450630340909792] 
0.1,0.06,0.0075,5.798340e-04,[0.485743420709384 0.4335317483639 0.246230055723961 0.134151567141648 0.381450783492075 0.286480949446937 0.401357348351881 0.387208218211912 0.483612473212332 0.140232417615362 0.607678297955854 0.20079368827005 0.371078974236951 0.632605128451457 0.512962760977089 0.450630340909792] 
0.1,0.06,0.0075,5.950928e-04,[0.485743420709384 0.4335317483639 0.246230055723961 0.134151567141648 0.381450783492075 0.286480949446937 0.401357348351881 0.387208218211912 0.483612473212332 0.140232417615362 0.607678297955854 0.20079368827005 0.371078974236951 0.632605128451457 0.512962760977089 0.450630340909792] 
0.1,0.06,0.0075,6.103516e-04,[0.485743420709384 0.4335317483639 0.246230055723961 0.134151567141648 0.381450783492075 0.286480949446937 0.401357348351881 0.387208218211912 0.483612473212332 0.140232417615362 0.607678297955854 0.20079368827005 0.371078974236951 0.632605128451457 0.512962760977089 0.450630340909792] 
0.1,0.06,0.0075,1.312256e-03,[0.485743420709384 0.4335317483639 0.380381622865609 0.381450783492075 0.286480949446937 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
0.1,0.06,0.0075,1.327515e-03,[0.485743420709384 0.4335317483639 0.380381622865609 0.381450783492075 0.286480949446937 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
0.1,0.06,0.0075,1.342773e-03,[0.485743420709384 0.4335317483639 0.380381622865609 0.381450783492075 0.286480949446937 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
0.1,0.06,0.0075,1.358032e-03,[0.485743420709384 0.4335317483639 0.380381622865609 0.381450783492075 0.286480949446937 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
0.1,0.06,0.0075,1.617432e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
0.1,0.06,0.0075,1.632690e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
0.1,0.06,0.0075,1.647949e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
