cpc,cohesin,e,time,distances
0.1,0.06,0.0075,1.663208e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483 0.450630340909792] 
0.1,0.06,0.0075,1.876831e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483] 
0.1,0.06,0.0075,1.892090e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483] 
0.1,0.06,0.0075,1.907349e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483] 
0.1,0.06,0.0075,1.922607e-03,[0.485743420709384 0.813913371229509 0.667931732939013 0.401357348351881 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258 0.37324482971483] 
0.1,0.06,0.0075,2.670288e-03,[0.485743420709384 0.813913371229509 1.06928908129089 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,2.685547e-03,[0.485743420709384 0.813913371229509 1.06928908129089 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,2.700806e-03,[0.485743420709384 0.813913371229509 1.06928908129089 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,2.792358e-03,[0.485743420709384 0.813913371229509 1.06928908129089 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,2.807617e-03,[0.485743420709384 0.813913371229509 1.06928908129089 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,2.822876e-03,[0.485743420709384 0.813913371229509 1.06928908129089 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,2.838135e-03,[0.485743420709384 0.813913371229509 1.06928908129089 0.870820691424244 0.747910715571216 0.20079368827005 0.371078974236951 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.143311e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.158569e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.173828e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.189087e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.265381e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.280640e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.295898e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.311157e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.326416e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.341675e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.356934e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 0.571872662507001 0.632605128451457 0.139717931262258] 
0.1,0.06,0.0075,3.555298e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,3.570557e-03,[0.485743420709384 0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,3.585815e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,3.601074e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.043579e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.058838e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.074097e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.089355e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.135132e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.150391e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.165649e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.180908e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.379272e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.394531e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.409790e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.425049e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.470825e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.486084e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.501343e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.516602e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.592896e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.608154e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.623413e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.638672e-03,[0.813913371229509 1.94010977271514 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.974365e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,4.989624e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.004883e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.020142e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.645752e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.661011e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.676270e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.691528e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.737305e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.752563e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.767822e-03,[2.75402314394465 0.747910715571216 1.20447779095846 0.139717931262258] 
0.1,0.06,0.0075,5.874634e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,5.889893e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,5.905151e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,5.920410e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,5.950928e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,5.966187e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,5.981445e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,5.996704e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.439209e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.454468e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.469727e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.484985e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.530762e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.546021e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.561279e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,6.576538e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.247925e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.263184e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.278442e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.293701e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.827759e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.843018e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.858276e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.873535e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.919312e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.934570e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.949829e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,7.965088e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,8.056641e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,8.071899e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,8.087158e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,8.102417e-03,[2.75402314394465 0.747910715571216 1.20447779095846] 
0.1,0.06,0.0075,9.490967e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.506226e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.521484e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.536743e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.552002e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.567261e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.765625e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.780884e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.796143e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.811401e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.872437e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.887695e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.902954e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,9.918213e-03,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.039124e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.040649e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.042175e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.043701e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.072693e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.074219e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.075745e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.077271e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.094055e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.095581e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.097107e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.098633e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.126099e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.127625e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.129150e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.130676e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.167297e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.168823e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.170349e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.171875e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.176453e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.177979e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.179504e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.181030e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.182556e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.184082e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.185608e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.187134e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.188660e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.210022e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.211548e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.213074e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.214600e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.216125e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.217651e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.266479e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.268005e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.269531e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.271057e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.283264e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.284790e-02,[2.75402314394465 0.747910715571216] 
0.1,0.06,0.0075,1.286316e-02,2.75402314394465 
0.1,0.06,0.0075,1.287842e-02,2.75402314394465 
0.1,0.06,0.0075,1.309204e-02,2.75402314394465 
0.1,0.06,0.0075,1.310730e-02,2.75402314394465 
0.1,0.06,0.0075,1.312256e-02,2.75402314394465 
0.1,0.06,0.0075,1.313782e-02,2.75402314394465 
0.1,0.06,0.0075,1.321411e-02,2.75402314394465 
0.1,0.06,0.0075,1.322937e-02,2.75402314394465 
0.1,0.06,0.0075,1.324463e-02,2.75402314394465 
0.1,0.06,0.0075,1.325989e-02,2.75402314394465 
0.1,0.06,0.0075,1.341248e-02,2.75402314394465 
0.1,0.06,0.0075,1.342773e-02,2.75402314394465 
0.1,0.06,0.0075,1.344299e-02,2.75402314394465 
0.1,0.06,0.0075,1.345825e-02,2.75402314394465 
0.1,0.06,0.0075,1.435852e-02,2.75402314394465 
0.1,0.06,0.0075,1.437378e-02,2.75402314394465 
0.1,0.06,0.0075,1.438904e-02,2.75402314394465 
0.1,0.06,0.0075,1.440430e-02,2.75402314394465 
0.1,0.06,0.0075,1.449585e-02,2.75402314394465 
0.1,0.06,0.0075,1.451111e-02,2.75402314394465 
0.1,0.06,0.0075,1.452637e-02,2.75402314394465 
0.1,0.06,0.0075,1.454163e-02,2.75402314394465 
0.1,0.06,0.0075,1.475525e-02,2.75402314394465 
0.1,0.06,0.0075,1.477051e-02,2.75402314394465 
0.1,0.06,0.0075,1.478577e-02,2.75402314394465 
0.1,0.06,0.0075,1.480103e-02,2.75402314394465 
0.1,0.06,0.0075,1.535034e-02,2.75402314394465 
0.1,0.06,0.0075,1.536560e-02,2.75402314394465 
0.1,0.06,0.0075,1.538086e-02,2.75402314394465 
0.1,0.06,0.0075,1.539612e-02,2.75402314394465 
0.1,0.06,0.0075,1.554871e-02,2.75402314394465 
0.1,0.06,0.0075,1.556396e-02,2.75402314394465 
0.1,0.06,0.0075,1.557922e-02,2.75402314394465 
0.1,0.06,0.0075,1.559448e-02,2.75402314394465 
0.1,0.06,0.0075,1.564026e-02,2.75402314394465 
0.1,0.06,0.0075,1.565552e-02,2.75402314394465 
0.1,0.06,0.0075,1.567078e-02,2.75402314394465 
0.1,0.06,0.0075,1.568604e-02,2.75402314394465 
0.1,0.06,0.0075,1.571655e-02,2.75402314394465 
0.1,0.06,0.0075,1.573181e-02,2.75402314394465 
0.1,0.06,0.0075,1.574707e-02,2.75402314394465 
0.1,0.06,0.0075,1.576233e-02,2.75402314394465 
0.1,0.06,0.0075,1.585388e-02,2.75402314394465 
0.1,0.06,0.0075,1.586914e-02,2.75402314394465 
0.1,0.06,0.0075,1.588440e-02,2.75402314394465 
0.1,0.06,0.0075,1.589966e-02,2.75402314394465 
0.1,0.06,0.0075,1.593018e-02,2.75402314394465 
0.1,0.06,0.0075,1.594543e-02,2.75402314394465 
0.1,0.06,0.0075,1.596069e-02,2.75402314394465 
0.1,0.06,0.0075,1.597595e-02,2.75402314394465 
0.1,0.06,0.0075,1.620483e-02,2.75402314394465 
0.1,0.06,0.0075,1.622009e-02,2.75402314394465 
0.1,0.06,0.0075,1.623535e-02,2.75402314394465 
0.1,0.06,0.0075,1.628113e-02,2.75402314394465 
0.1,0.06,0.0075,1.629639e-02,2.75402314394465 
0.1,0.06,0.0075,1.631165e-02,2.75402314394465 
0.1,0.06,0.0075,1.632690e-02,2.75402314394465 
0.1,0.06,0.0075,1.634216e-02,2.75402314394465 
0.1,0.06,0.0075,1.635742e-02,2.75402314394465 
0.1,0.06,0.0075,1.744080e-02,2.75402314394465 
0.1,0.06,0.0075,1.745605e-02,2.75402314394465 
0.1,0.06,0.0075,1.747131e-02,2.75402314394465 
0.1,0.06,0.0075,1.748657e-02,2.75402314394465 
0.1,0.06,0.0075,1.751709e-02,2.75402314394465 
0.1,0.06,0.0075,1.753235e-02,2.75402314394465 
0.1,0.06,0.0075,1.754761e-02,2.75402314394465 
0.1,0.06,0.0075,1.756287e-02,2.75402314394465 
0.1,0.06,0.0075,1.757812e-02,2.75402314394465 
0.1,0.06,0.0075,1.759338e-02,2.75402314394465 
0.1,0.06,0.0075,1.879883e-02,[] 
0.1,0.06,0.0075,1.881409e-02,[] 
0.1,0.06,0.0075,1.882935e-02,[] 
0.1,0.06,0.0075,1.914978e-02,[] 
0.1,0.06,0.0075,1.916504e-02,[] 
0.1,0.06,0.0075,1.918030e-02,[] 
0.1,0.06,0.0075,1.919556e-02,[] 
0.1,0.06,0.0075,1.933289e-02,[] 
0.1,0.06,0.0075,1.934814e-02,[] 
0.1,0.06,0.0075,1.936340e-02,[] 
0.1,0.06,0.0075,1.937866e-02,[] 
0.1,0.06,0.0075,1.939392e-02,[] 
0.1,0.06,0.0075,1.940918e-02,[] 
0.1,0.06,0.0075,1.942444e-02,[] 
0.1,0.06,0.0075,2.003479e-02,[] 
0.1,0.06,0.0075,2.005005e-02,[] 
0.1,0.06,0.0075,2.006531e-02,[] 
0.1,0.06,0.0075,2.008057e-02,[] 
0.1,0.06,0.0075,2.009583e-02,[] 
0.1,0.06,0.0075,2.011108e-02,[] 
0.1,0.06,0.0075,2.012634e-02,[] 
0.1,0.06,0.0075,2.023315e-02,[] 
0.1,0.06,0.0075,2.024841e-02,[] 
0.1,0.06,0.0075,2.026367e-02,[] 
0.1,0.06,0.0075,2.027893e-02,[] 
0.1,0.06,0.0075,2.043152e-02,[] 
0.1,0.06,0.0075,2.044678e-02,[] 
0.1,0.06,0.0075,2.046204e-02,[] 
0.1,0.06,0.0075,2.047729e-02,[] 
0.1,0.06,0.0075,2.055359e-02,[] 
0.1,0.06,0.0075,2.056885e-02,[] 
0.1,0.06,0.0075,2.058411e-02,[] 
0.1,0.06,0.0075,2.059937e-02,[] 
0.1,0.06,0.0075,2.082825e-02,[] 
0.1,0.06,0.0075,2.084351e-02,[] 
0.1,0.06,0.0075,2.085876e-02,[] 
0.1,0.06,0.0075,2.087402e-02,[] 
0.1,0.06,0.0075,2.104187e-02,[] 
0.1,0.06,0.0075,2.105713e-02,[] 
0.1,0.06,0.0075,2.107239e-02,[] 
0.1,0.06,0.0075,2.108765e-02,[] 
0.1,0.06,0.0075,2.159119e-02,[] 
0.1,0.06,0.0075,2.160645e-02,[] 
0.1,0.06,0.0075,2.162170e-02,[] 
0.1,0.06,0.0075,2.163696e-02,[] 
0.1,0.06,0.0075,2.201843e-02,[] 
0.1,0.06,0.0075,2.203369e-02,[] 
0.1,0.06,0.0075,2.204895e-02,[] 
0.1,0.06,0.0075,2.217102e-02,[] 
0.1,0.06,0.0075,2.218628e-02,[] 
0.1,0.06,0.0075,2.220154e-02,[] 
0.1,0.06,0.0075,2.221680e-02,[] 
0.1,0.06,0.0075,2.233887e-02,[] 
0.1,0.06,0.0075,2.235413e-02,[] 
0.1,0.06,0.0075,2.236938e-02,[] 
0.1,0.06,0.0075,2.238464e-02,[] 
0.1,0.06,0.0075,2.255249e-02,[] 
0.1,0.06,0.0075,2.256775e-02,[] 
0.1,0.06,0.0075,2.258301e-02,[] 
0.1,0.06,0.0075,2.259827e-02,[] 
0.1,0.06,0.0075,2.261353e-02,[] 
0.1,0.06,0.0075,2.285767e-02,[] 
0.1,0.06,0.0075,2.287292e-02,[] 
0.1,0.06,0.0075,2.288818e-02,[] 
0.1,0.06,0.0075,2.290344e-02,[] 
0.1,0.06,0.0075,2.294922e-02,[] 
0.1,0.06,0.0075,2.296448e-02,[] 
0.1,0.06,0.0075,2.297974e-02,[] 
0.1,0.06,0.0075,2.299500e-02,[] 
0.1,0.06,0.0075,2.301025e-02,[] 
0.1,0.06,0.0075,2.302551e-02,[] 
0.1,0.06,0.0075,2.310181e-02,[] 
0.1,0.06,0.0075,2.311707e-02,[] 
0.1,0.06,0.0075,2.313232e-02,[] 
0.1,0.06,0.0075,2.314758e-02,[] 
0.1,0.06,0.0075,2.357483e-02,[] 
0.1,0.06,0.0075,2.359009e-02,[] 
0.1,0.06,0.0075,2.360535e-02,[] 
0.1,0.06,0.0075,2.362061e-02,[] 
0.1,0.06,0.0075,2.363586e-02,[] 
0.1,0.06,0.0075,2.365112e-02,[] 
0.1,0.06,0.0075,2.415466e-02,[] 
0.1,0.06,0.0075,2.416992e-02,[] 
0.1,0.06,0.0075,2.418518e-02,[] 
