CPC(um),cohesin(um),eps,alpha,norm_counts,counts,final_eq_radius (unitless)
0.125,0.05,0.0075,0,zeros(1;0),1967,1.619754e-02
0.125,0.08,0.0075,0,[0.245283018867925;0.103047895500726;0.142235123367199;0.509433962264151],[1278;169;71;98;351],2.733781e-02
0.125,0.09,0.0075,0,[0.245283018867925;0.103047895500726;0.142235123367199;0.509433962264151],[1278;169;71;98;351],2.733781e-02
0.125,0.11,0.0075,0,zeros(1;0),1967,3.709138e-02
0.125,0.12,0.0075,0,zeros(1;0),1967,3.709138e-02
0.125,0.13,0.0075,0,zeros(1;0),1967,2.492446e-01
0.125,0.14,0.0075,0,zeros(1;0),1967,2.492446e-01
0.125,0.15,0.0075,0,zeros(1;0),1967,2.492446e-01
0.125,0.2,0.0075,0,zeros(1;0),1967,2.490998e-01
0.12,0.05,0.0075,0,zeros(1;0),1967,1.452992e-02
0.12,0.08,0.0075,0,[0.226470588235294;0.114705882352941;0.144117647058824;0.514705882352941],[1287;154;78;98;350],2.652178e-02
0.12,0.09,0.0075,0,[0.226470588235294;0.114705882352941;0.144117647058824;0.514705882352941],[1287;154;78;98;350],2.652178e-02
0.12,0.11,0.0075,0,zeros(1;0),1967,3.779525e-02
0.12,0.12,0.0075,0,zeros(1;0),1967,3.779525e-02
0.12,0.13,0.0075,0,zeros(1;0),1967,2.492231e-01
0.12,0.14,0.0075,0,zeros(1;0),1967,2.492231e-01
0.12,0.15,0.0075,0,zeros(1;0),1967,2.492231e-01
0.12,0.1,0.0075,0,[0.226470588235294;0.114705882352941;0.144117647058824;0.514705882352941],[1287;154;78;98;350],2.652178e-02
0.12,0.2,0.0075,0,zeros(1;0),1967,2.500025e-01
0.15,0.05,0.0075,0,zeros(1;0),1967,2.169875e-02
0.15,0.08,0.0075,0,[0.295148247978437;0.133423180592992;0.0929919137466307;0.478436657681941],[1225;219;99;69;355],3.012531e-02
0.15,0.12,0.0075,0,zeros(1;0),1967,3.682862e-02
0.15,0.13,0.0075,0,zeros(1;0),1967,2.484816e-01
0.15,0.14,0.0075,0,zeros(1;0),1967,2.484816e-01
0.15,0.15,0.0075,0,zeros(1;0),1967,2.484816e-01
0.15,0.1,0.0075,0,[0.295148247978437;0.133423180592992;0.0929919137466307;0.478436657681941],[1225;219;99;69;355],3.007266e-02
0.15,0.2,0.0075,0,zeros(1;0),1967,2.492449e-01
0.173,0.05,0.0075,0,zeros(1;0),1967,2.649514e-02
0.173,0.11,0.0075,0,zeros(1;0),1967,3.804310e-02
0.173,0.12,0.0075,0,zeros(1;0),1967,3.804310e-02
0.173,0.13,0.0075,0,zeros(1;0),1967,2.477828e-01
0.173,0.14,0.0075,0,zeros(1;0),1967,2.477828e-01
0.173,0.15,0.0075,0,zeros(1;0),1967,2.477828e-01
0.173,0.1,0.0075,0,[0.347772277227723;0.143564356435644;0.0804455445544554;0.428217821782178],[1159;281;116;65;346],3.351894e-02
0.173,0.2,0.0075,0,zeros(1;0),1967,2.485043e-01
0.1,0.05,0.0075,0,zeros(1;0),1967,6.624747e-04
0.1,0.08,0.0075,0,[0.142414860681115;0.178018575851393;0.15015479876161;0.529411764705882],[1321;92;115;97;342],2.369122e-02
0.1,0.09,0.0075,0,[0.142414860681115;0.178018575851393;0.15015479876161;0.529411764705882],[1321;92;115;97;342],2.369122e-02
0.1,0.11,0.0075,0,zeros(1;0),1967,2.453774e-01
0.1,0.12,0.0075,0,zeros(1;0),1967,2.453774e-01
0.1,0.13,0.0075,0,zeros(1;0),1967,2.490551e-01
0.1,0.14,0.0075,0,zeros(1;0),1967,2.490551e-01
0.1,0.15,0.0075,0,zeros(1;0),1967,2.490551e-01
0.1,0.1,0.0075,0,[0.142414860681115;0.178018575851393;0.15015479876161;0.529411764705882],[1321;92;115;97;342],2.369122e-02
0.1,0.2,0.0075,0,zeros(1;0),1967,2.500000e-01
0.22,0.05,0.0075,0,zeros(1;0),1967,3.487239e-02
0.22,0.08,0.0075,0,[0.402699662542182;0.185601799775028;0.41169853768279],[1078;358;165;366],4.062553e-02
