CPC(um),cohesin(um),eps,alpha,norm_counts,counts,final_eq_radius (unitless)
0.22,0.11,0.0075,0,zeros(1;0),1967,4.232442e-02
0.22,0.12,0.0075,0,zeros(1;0),1967,4.232442e-02
0.22,0.13,0.0075,0,zeros(1;0),1967,2.446559e-01
0.22,0.14,0.0075,0,zeros(1;0),1967,2.446559e-01
0.22,0.15,0.0075,0,zeros(1;0),1967,2.446559e-01
0.22,0.1,0.0075,0,[0.402699662542182;0.185601799775028;0.41169853768279],[1078;358;165;366],4.042142e-02
0.22,0.2,0.0075,0,zeros(1;0),1967,2.463019e-01
0.25,0.08,0.0075,0,[0.418756815703381;0.198473282442748;0.382769901853871],[1050;384;182;351],4.508311e-02
0.25,0.11,0.0075,0,zeros(1;0),1967,4.625057e-02
0.25,0.12,0.0075,0,zeros(1;0),1967,4.625057e-02
0.25,0.13,0.0075,0,zeros(1;0),1967,2.426007e-01
0.25,0.14,0.0075,0,zeros(1;0),1967,2.426007e-01
0.25,0.1,0.0075,0,[0.418756815703381;0.198473282442748;0.382769901853871],[1050;384;182;351],4.503219e-02
0.2,0.08,0.0075,0,[0.385150812064965;0.135730858468677;0.102088167053364;0.377030162412993],[1105;332;117;88;325],3.743935e-02
0.2,0.09,0.0075,0,[0.385150812064965;0.135730858468677;0.102088167053364;0.377030162412993],[1105;332;117;88;325],3.743457e-02
0.2,0.11,0.0075,0,zeros(1;0),1967,3.990564e-02
0.2,0.12,0.0075,0,zeros(1;0),1967,3.990564e-02
0.2,0.13,0.0075,0,zeros(1;0),1967,2.463021e-01
0.2,0.14,0.0075,0,zeros(1;0),1967,2.463021e-01
0.2,0.1,0.0075,0,[0.385150812064965;0.135730858468677;0.102088167053364;0.377030162412993],[1105;332;117;88;325],3.745206e-02
0.35,0.09,0.0075,0,[0.438025210084034;0.21953781512605;0.342436974789916],[1015;417;209;326],5.944153e-02
0.35,0.11,0.0075,0,zeros(1;0),1967,5.968422e-02
0.35,0.12,0.0075,0,zeros(1;0),1967,5.968422e-02
0.35,0.13,0.0075,0,zeros(1;0),1967,2.376424e-01
0.35,0.14,0.0075,0,zeros(1;0),1967,2.376424e-01
0.3,0.08,0.0075,0,[0.431163287086446;0.209178228388474;0.35965848452508],[1030;404;196;337],5.213182e-02
0.3,0.09,0.0075,0,[0.431163287086446;0.209178228388474;0.35965848452508],[1030;404;196;337],5.226903e-02
0.3,0.11,0.0075,0,zeros(1;0),1967,5.273587e-02
0.3,0.12,0.0075,0,zeros(1;0),1967,5.273587e-02
0.3,0.13,0.0075,0,zeros(1;0),1967,2.402952e-01
0.3,0.14,0.0075,0,zeros(1;0),1967,2.402952e-01
