cpc,cohesin,e,time,chr_length,distances
0.1,0.08,0.0075,0.006366,1.082340,[0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802] 
0.1,0.08,0.0075,0.024931,3.487540,[] 
0.1,0.08,0.0075,0.009712,1.924160,[0.276118542487131 0.299658043954347 0.31346890970222 0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802 0.312894908148346 0.300686407127689 0.275468635139196] 
0.1,0.08,0.0075,0.022159,2.826110,[] 
0.1,0.08,0.0075,0.004794,2.645720,[1.37180110427291 0.535660110492821 0.523926235453522 1.37750307146648] 
0.1,0.08,0.0075,0.021938,1.443120,[] 
0.1,0.08,0.0075,0.001610,2.044420,[] 
0.1,0.08,0.0075,0.021423,1.623510,[] 
0.1,0.08,0.0075,0.003650,1.322860,[] 
0.1,0.08,0.0075,0.029507,2.705850,[] 
0.1,0.08,0.0075,0.017783,2.886240,[] 
0.1,0.08,0.0075,0.008081,0.901950,[0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802] 
0.1,0.08,0.0075,0.012952,3.547670,[0.299658043954347 0.31346890970222 0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802 0.312894908148346 0.300686407127689] 
0.1,0.08,0.0075,0.027896,1.382990,[] 
0.1,0.08,0.0075,0.015225,3.487540,[] 
0.1,0.08,0.0075,0.001921,3.547670,[] 
0.1,0.08,0.0075,0.019757,3.607800,[] 
0.1,0.08,0.0075,0.013463,2.405200,[0.31346890970222 0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802 0.312894908148346] 
0.1,0.08,0.0075,0.004410,1.322860,[] 
0.1,0.08,0.0075,0.023235,2.044420,[] 
0.1,0.08,0.0075,0.015921,3.126760,[] 
0.1,0.08,0.0075,0.002634,2.645720,[] 
0.1,0.08,0.0075,0.026984,1.503250,[] 
0.1,0.08,0.0075,0.026013,2.465330,[] 
0.1,0.08,0.0075,0.001686,2.104550,[] 
0.1,0.08,0.0075,0.019177,1.082340,[] 
