cpc,cohesin,e,distances
0.1,0.09,0.0075,[0.26863993221495 0.276118542487131 0.299658043954347 0.31346890970222 0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802 0.312894908148346 0.300686407127689 0.275468635139196 0.269519384077221] 
0.12,0.09,0.0075,[0.269072798737441 0.280696576893504 0.295741110413383 0.318113056628862 0.349876419225334 0.55005948276554 0.538564952121338 0.35095083992037 0.317503415006978 0.29684541274954 0.280047321180439 0.270007480993484] 
0.125,0.09,0.0075,[0.269103599363777 0.280765791090104 0.295735291358264 0.318159533963159 0.346243467803091 0.560564779698768 0.549123972134532 0.347248928109637 0.317570637794937 0.296791349051096 0.280129409356626 0.270004248185838] 
0.2,0.09,0.0075,[0.269346700849249 0.281084842979036 0.300622959173951 0.318791451996976 0.350358837894568 0.6248418615295 0.613776730334609 0.351389472577058 0.318207526992714 0.301601487352746 0.280513872768803 0.270282312727473] 
0.3,0.09,0.0075,[0.269457657277366 0.28124492288677 0.300844696322531 0.319055343324985 0.350450147923219 0.724643150410257 0.713902833813738 0.3514863097975 0.318485437592354 0.301804824686842 0.280697350197114 0.270410114439255] 
0.35,0.09,0.0075,[0.274405867366483 0.281389405391697 0.300776390138431 0.314716588283605 0.354847574546271 0.774950184284467 0.764374832659546 0.355812118474776 0.314230146325902 0.301738996408426 0.280853438006303 0.275220537347327] 
0.1,0.1,0.0075,[0.26863993221495 0.276118542487131 0.299658043954347 0.31346890970222 0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802 0.312894908148346 0.300686407127689 0.275468635139196 0.269519384077221] 
0.12,0.1,0.0075,[0.269072798737441 0.280696576893504 0.295741110413383 0.318113056628862 0.349876419225334 0.55005948276554 0.538564952121338 0.35095083992037 0.317503415006978 0.29684541274954 0.280047321180439 0.270007480993484] 
0.15,0.1,0.0075,[0.269676001430719 0.280685877453183 0.300485137527559 0.318423215104679 0.35011679636445 0.575211405219216 0.563881488868805 0.351160770429632 0.317811830011927 0.301481291447944 0.280102475462992 0.270582128103085] 
0.173,0.1,0.0075,[0.269597282506509 0.285562489881012 0.296091132464988 0.318615702439081 0.350315680931668 0.599093749156049 0.587877234370935 0.351344766723517 0.318031371316619 0.297179476570678 0.284874780617432 0.270527759172273] 
0.2,0.1,0.0075,[0.269346700849249 0.281084842979036 0.300622959173951 0.318791451996976 0.350358837894568 0.6248418615295 0.613776730334609 0.351389472577058 0.318207526992714 0.301601487352746 0.280513872768803 0.270282312727473] 
0.22,0.1,0.0075,[0.274167306999751 0.281169139936856 0.296285267842084 0.322638643057743 0.346696149486775 0.648109474812751 0.637096502320161 0.34764964717799 0.322115156590862 0.297383358386291 0.280588974999545 0.275013877945781] 
0.25,0.1,0.0075,[0.269504421601312 0.281180174892757 0.300745435373537 0.31897579717804 0.350412800855956 0.674928835096293 0.664059568504803 0.351437783378021 0.318407103702508 0.301710163946476 0.28063113134591 0.270452280349573] 
0.1,0.08,0.0075,[0.26863993221495 0.276118542487131 0.299658043954347 0.31346890970222 0.345872470167746 0.535660110492821 0.523926235453522 0.34701925122802 0.312894908148346 0.300686407127689 0.275468635139196 0.269519384077221] 
0.12,0.08,0.0075,[0.269072798737441 0.280696576893504 0.295741110413383 0.318113056628862 0.349876419225334 0.55005948276554 0.538564952121338 0.35095083992037 0.317503415006978 0.29684541274954 0.280047321180439 0.270007480993484] 
0.125,0.08,0.0075,[0.269103599363777 0.280765791090104 0.295735291358264 0.318159533963159 0.346243467803091 0.560564779698768 0.549123972134532 0.347248928109637 0.317570637794937 0.296791349051096 0.280129409356626 0.270004248185838] 
0.15,0.08,0.0075,[0.269676001430719 0.280685877453183 0.300485137527559 0.318423215104679 0.35011679636445 0.575211405219216 0.563881488868805 0.351160770429632 0.317811830011927 0.301481291447944 0.280102475462992 0.270582128103085] 
0.173,0.08,0.0075,[0.269597282506509 0.285562489881012 0.296091132464988 0.318615702439081 0.350315680931668 0.599093749156049 0.587877234370935 0.351344766723517 0.318031371316619 0.297179476570678 0.284874780617432 0.270527759172273] 
0.2,0.08,0.0075,[0.269346700849249 0.281084842979036 0.300622959173951 0.318791451996976 0.350358837894568 0.6248418615295 0.613776730334609 0.351389472577058 0.318207526992714 0.301601487352746 0.280513872768803 0.270282312727473] 
0.22,0.08,0.0075,[0.274167306999751 0.281169139936856 0.296285267842084 0.322638643057743 0.346696149486775 0.648109474812751 0.637096502320161 0.34764964717799 0.322115156590862 0.297383358386291 0.280588974999545 0.275013877945781] 
0.25,0.08,0.0075,[0.269504421601312 0.281180174892757 0.300745435373537 0.31897579717804 0.350412800855956 0.674928835096293 0.664059568504803 0.351437783378021 0.318407103702508 0.301710163946476 0.28063113134591 0.270452280349573] 
0.3,0.08,0.0075,[0.269457657277366 0.28124492288677 0.300844696322531 0.319055343324985 0.350450147923219 0.724643150410257 0.713902833813738 0.3514863097975 0.318485437592354 0.301804824686842 0.280697350197114 0.270410114439255] 
0.35,0.08,0.0075,[0.274405867366483 0.281389405391697 0.300776390138431 0.314716588283605 0.354847574546271 0.774950184284467 0.764374832659546 0.355812118474776 0.314230146325902 0.301738996408426 0.280853438006303 0.275220537347327] 
0.1,0.07,0.0075,[0.221954308189689 0.374673279609006 0.363167551943945 0.226828544855509] 
0.12,0.07,0.0075,[0.220093148944501 0.390068018266353 0.378937795810788 0.224476498827958] 
0.125,0.07,0.0075,[0.221503501192983 0.40011279867281 0.389110379436502 0.225687497845959] 
0.15,0.07,0.0075,[0.220106622447764 0.420520588480216 0.409616092255096 0.224750094405029] 
0.173,0.07,0.0075,[0.220376557412678 0.445004430044401 0.434309410279127 0.224856345115797] 
0.2,0.07,0.0075,[0.2160457649209 0.474568894481298 0.464173331360278 0.220271790079681] 
0.22,0.07,0.0075,[0.220463074049097 0.494747152492095 0.48430789023626 0.224809237657783] 
0.25,0.07,0.0075,[0.215905363839148 0.524694735181696 0.514562746175495 0.219974867743691] 
0.3,0.07,0.0075,[0.215963266887833 0.574511199512527 0.564552901479245 0.219955736352154] 
0.35,0.07,0.0075,[0.21578575412966 0.62468469355811 0.614924405336978 0.21970739104704] 
