cpc,cohesin,e,time,chr_length,distances
0.1,0.09,0.0067,0.002319,1.082340,[] 
0.1,0.09,0.0067,0.027412,3.487540,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.820137837630682 0.376098826652637] 
0.1,0.09,0.0067,0.021199,1.924160,[0.551814205396728 1.01644003633256 0.794110461849515 0.512315481044629 0.557540605411113] 
0.1,0.09,0.0067,0.016731,2.826110,[0.71842628880598 0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731 0.452414439583372] 
0.1,0.09,0.0067,0.009401,2.645720,[0.943900017564526 0.794110461849515 0.512315481044629 1.06547535929234] 
0.1,0.09,0.0067,0.004984,1.443120,[] 
0.1,0.09,0.0067,0.018669,2.044420,[0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113] 
0.1,0.09,0.0067,0.029626,1.623510,[0.551814205396728 1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.005110,1.322860,[] 
0.1,0.09,0.0067,0.007730,2.705850,2.80506909502991 
0.1,0.09,0.0067,0.011897,2.886240,[0.968452297821635 0.772718929987513 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 1.06547535929234] 
0.1,0.09,0.0067,0.002217,0.901950,[] 
0.1,0.09,0.0067,0.020509,3.547670,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731 0.452414439583372 0.376098826652637] 
0.1,0.09,0.0067,0.012064,1.382990,[0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629] 
0.1,0.09,0.0067,0.029463,3.487540,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.820137837630682 0.376098826652637] 
0.1,0.09,0.0067,0.012056,3.547670,[0.968452297821635 0.772718929987513 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 1.06547535929234] 
0.1,0.09,0.0067,0.018605,3.607800,[0.71842628880598 0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731 0.452414439583372 0.376098826652637] 
0.1,0.09,0.0067,0.004626,2.405200,[] 
