cpc,cohesin,e,time,chr_length,distances
0.1,0.09,0.0089,0.012410,2.705850,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.027441,1.262730,[] 
0.1,0.09,0.0089,0.014313,4.389490,[0.602367472101421 1.10966334953056 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.027483,1.623510,[] 
0.1,0.09,0.0089,0.014903,2.465330,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.027818,2.645720,2.06307624482221 
0.1,0.09,0.0089,0.021103,2.826110,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.020831,3.186890,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.000137,3.667930,[] 
0.1,0.09,0.0089,0.016199,2.224810,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.012383,2.765980,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.018832,3.908450,[1.10966334953056 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.016295,1.443120,[0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.006474,5.351570,[0.309594984411762 0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.449878493881107 0.534061648241139 0.426934336549747 0.387479924003674 0.376017601347768] 
0.1,0.09,0.0089,0.016551,3.307150,[1.10966334953056 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.025862,4.088840,2.06307624482221 
0.1,0.09,0.0089,0.000148,4.930660,[] 
0.1,0.09,0.0089,0.003749,3.247020,[0.309594984411762 0.602367472101421 0.492141115799838 0.617522233730722 0.199366946025259 0.340798662387904 0.413247286878486 0.469559093956855 0.370571703956902 0.449878493881107 0.534061648241139 0.426934336549747 0.387479924003674 0.376017601347768] 
0.1,0.09,0.0089,0.023230,7.275730,2.06307624482221 
0.1,0.09,0.0089,0.000610,6.313650,[] 
0.1,0.09,0.0089,0.004274,3.427410,[0.309594984411762 0.602367472101421 0.492141115799838 0.617522233730722 0.199366946025259 0.340798662387904 0.413247286878486 0.469559093956855 0.370571703956902 0.449878493881107 0.534061648241139 0.426934336549747 0.387479924003674 0.376017601347768] 
0.1,0.09,0.0089,0.009601,4.750270,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.983940142122246 0.814414260553421 0.376017601347768] 
0.1,0.09,0.0089,0.027112,2.585590,2.06307624482221 
0.1,0.09,0.0089,0.018402,1.803900,[0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.000476,4.930660,[] 
0.1,0.09,0.0089,0.009329,1.683640,[0.617522233730722 0.953412895291648 0.840130797913756] 
