CPC(um),cohesin(um),eps,alpha,norm_counts,counts,final_eq_radius (unitless)
0.08,0.06,0.0075,0,[0.33855331841909;0.48993288590604;0.0216256524981357;0.00820283370618941;0.058165548098434;0.0164056674123788;0.0119313944817301;0.0484712900820283;0.00596569724086503;0.000745712155108128],[626;454;657;29;11;78;22;16;65;8;1],1.078932e-03
0.08,0.07,0.0075,0,[0.454391891891892;0.0844594594594595;0.202702702702703;0.0489864864864865;0.20777027027027;0.00168918918918919],[1375;269;50;120;29;123;1],7.702889e-02
0.125,0.06,0.0075,0,[0.714993804213135;0.0371747211895911;0.0123915737298637;0.0966542750929368;0.0359355638166047;0.080545229244114;0.0161090458488228;0.00495662949194548;0.00123915737298637],[1160;577;30;10;78;29;65;13;4;1],1.078933e-03
0.125,0.07,0.0075,0,[0.701932858596134;0.12970498474059;0.0295015259409969;0.0717192268565615;0.0239064089521872;0.0427263479145473;0.000508646998982706],[1;1380;255;58;141;47;84;1],7.702889e-02
0.125,0.08,0.0075,0,[0.479836651352731;0.0500255232261358;0.148034711587545;0.0296069423175089;0.202654415518121;0.037263910158244;0.0520673813169985;0.000510464522715671],[8;940;98;290;58;397;73;102;1],8.050018e-02
0.125,0.09,0.0075,0,[0.025693730729702;0.332990750256937;0.0405960945529291;0.325282631038027;0.227646454265159;0.0467625899280576;0.000513874614594039;0.000513874614594039],[21;50;648;79;633;443;91;1;1],8.124486e-02
0.125,0.11,0.0075,0,[0.782561307901907;0.216893732970027;0.000544959128065395],[132;1436;398;1],8.842083e-02
0.12,0.06,0.0075,0,[0.717444717444717;0.0368550368550369;0.0122850122850123;0.0958230958230958;0.0356265356265356;0.0773955773955774;0.0184275184275184;0.00491400491400491;0.00122850122850123],[1153;584;30;10;78;29;63;15;4;1],1.078932e-03
0.12,0.07,0.0075,0,[0.700915564598169;0.130213631739573;0.0300101729399797;0.0717192268565615;0.0213631739572737;0.0452695829094608;0.000508646998982706],[1;1378;256;59;141;42;89;1],7.702889e-02
0.12,0.08,0.0075,0,[0.478305257784584;0.0515569167942828;0.145482388973966;0.0321592649310873;0.202654415518121;0.0316488004083716;0.0576824910668709;0.000510464522715671],[8;937;101;285;63;397;62;113;1],8.050018e-02
0.12,0.09,0.0075,0,[0.0215827338129496;0.33710174717369;0.0313463514902364;0.334532374100719;0.215313463514902;0.0590955806783145;0.000513874614594039;0.000513874614594039],[21;42;656;61;651;419;115;1;1],8.124486e-02
0.12,0.11,0.0075,0,[0.78322440087146;0.216230936819172;0.000544662309368192],[131;1438;397;1],8.842083e-02
0.15,0.06,0.0075,0,[0.708812260536398;0.0421455938697318;0.0127713920817369;0.0932311621966794;0.037037037037037;0.0919540229885057;0.0127713920817369;0.00127713920817369],[1184;555;33;10;73;29;72;10;1],1.078932e-03
0.15,0.07,0.0075,0,[0.701932858596134;0.131739572736521;0.0305188199389624;0.069175991861648;0.0376398779247202;0.0284842319430315;0.000508646998982706],[1;1380;259;60;136;74;56;1],7.702889e-02
0.15,0.08,0.0075,0,[0.480857580398162;0.0561510974987238;0.156202143950995;0.0148034711587545;0.202143950995406;0.0632976008167432;0.0260336906584992;0.000510464522715671],[8;942;110;306;29;396;124;51;1],8.050018e-02
0.15,0.09,0.0075,0,[0.046738572162301;0.312275295326143;0.0924499229583975;0.274268104776579;0.270159219311762;0.00308166409861325;0.000513610683102209;0.000513610683102209],[20;91;608;180;534;526;6;1;1],8.124486e-02
0.15,0.11,0.0075,0,[0.783842794759825;0.21561135371179;0.000545851528384279],[135;1436;395;1],8.842083e-02
0.173,0.06,0.0075,0,[0.697612732095491;0.0450928381962865;0.00795755968169761;0.10079575596817;0.0424403183023873;0.0981432360742706;0.00663129973474801;0.0013262599469496],[1213;526;34;6;76;32;74;5;1],1.078932e-03
0.173,0.07,0.0075,0,[0.701932858596134;0.134791454730417;0.0279755849440488;0.0686673448626653;0.0513733468972533;0.0147507629704985;0.000508646998982706],[1;1380;265;55;135;101;29;1],7.702889e-02
0.173,0.08,0.0075,0,[0.480612244897959;0.0576530612244898;0.165816326530612;0.0163265306122449;0.189795918367347;0.0857142857142857;0.00357142857142857;0.000510204081632653],[7;942;113;325;32;372;168;7;1],8.050018e-02
0.173,0.09,0.0075,0,[0.0467625899280576;0.324254881808839;0.195786228160329;0.217882836587873;0.214285714285714;0.000513874614594039;0.000513874614594039],[21;91;631;381;424;417;1;1],8.124486e-02
