seed,cpc,cohesin,e,time,arm_length,distances
1234,0.1,0.08,0.0075,0.017676,1.082340,0.743704910598915 
1234,0.1,0.08,0.0075,0.028165,3.487540,[2.68673609924026 0.743704910598915 2.17746706228662] 
1234,0.1,0.08,0.0075,0.026862,1.924160,0.743704910598915 
1234,0.1,0.08,0.0075,0.018184,2.826110,[2.68673609924026 0.743704910598915] 
1234,0.1,0.08,0.0075,0.023766,2.645720,[2.68673609924026 0.743704910598915] 
1234,0.1,0.08,0.0075,0.025078,1.443120,0.743704910598915 
1234,0.1,0.08,0.0075,0.016798,2.044420,[0.743704910598915 0.578157363977381] 
1234,0.1,0.08,0.0075,0.000020,1.623510,[] 
1234,0.1,0.08,0.0075,0.007535,1.322860,[0.466807181804284 0.891620525345233 0.743704910598915] 
1234,0.1,0.08,0.0075,0.012952,2.705850,[1.32830839209074 1.35842770714952 0.743704910598915 0.578157363977381 0.519072974792717 0.303652870814804 0.334987091353266] 
1234,0.1,0.08,0.0075,0.012912,2.886240,[1.32830839209074 1.35842770714952 0.743704910598915 0.578157363977381 0.519072974792717 0.303652870814804 0.334987091353266] 
1234,0.1,0.08,0.0075,0.026242,0.901950,0.743704910598915 
1234,0.1,0.08,0.0075,0.002028,3.547670,[0.705877956779012 0.681261320177222 0.300553675954404 0.144613524923342 0.466807181804284 0.377320645797628 1.13955527231218 1.52591333473471 0.770003245386244] 
1234,0.1,0.08,0.0075,0.010190,1.382990,[0.466807181804284 0.891620525345233 0.743704910598915] 
1234,0.1,0.08,0.0075,0.005307,3.487540,[0.503998085743237 0.498645151211861 0.384496040001136 0.445167200877746 0.466807181804284 0.891620525345233 0.743704910598915 0.578157363977381 0.519072974792717 0.303652870814804 0.334987091353266 0.441596761348452] 
1234,0.1,0.08,0.0075,0.007375,3.547670,[0.503998085743237 0.498645151211861 0.384496040001136 0.445167200877746 0.466807181804284 0.891620525345233 0.743704910598915 0.578157363977381 0.519072974792717 0.303652870814804 0.334987091353266 0.441596761348452] 
1234,0.1,0.08,0.0075,0.021817,3.607800,[2.68673609924026 0.743704910598915 2.17746706228662] 
1234,0.1,0.08,0.0075,0.008638,2.405200,[0.384496040001136 0.445167200877746 0.466807181804284 0.891620525345233 0.743704910598915 0.578157363977381 0.519072974792717 0.303652870814804] 
1234,0.1,0.08,0.0075,0.007114,1.322860,[0.466807181804284 0.891620525345233 0.743704910598915] 
1234,0.1,0.08,0.0075,0.004185,2.044420,[0.445167200877746 0.466807181804284 0.377320645797628 0.514299879547605 0.743704910598915 0.578157363977381 0.519072974792717] 
1234,0.1,0.08,0.0075,0.006615,3.126760,[0.503998085743237 0.498645151211861 0.384496040001136 0.445167200877746 0.466807181804284 0.891620525345233 0.743704910598915 0.578157363977381 0.519072974792717 0.303652870814804 0.334987091353266 0.441596761348452] 
