cpc,cohesin,e,time,chr_length,distances
0.1,0.09,0.008,0.028873,1.082340,0.854686245486197 
0.1,0.09,0.008,0.016051,3.487540,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.028912,1.924160,[1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.003467,2.826110,[1.7740510749429 1.71452767710762 0.591771703919969 1.04460440450431] 
0.1,0.09,0.008,0.001543,2.645720,[] 
0.1,0.09,0.008,0.009128,1.443120,[0.29839846458366 0.773784414561788 0.854686245486197 0.445376891572639] 
0.1,0.09,0.008,0.017400,2.044420,[0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.015923,1.623510,[0.506011061431929 1.07218287914545 0.854686245486197] 
0.1,0.09,0.008,0.027025,1.322860,[1.07218287914545 0.854686245486197] 
0.1,0.09,0.008,0.016208,2.705850,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.012952,2.886240,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.016270,0.901950,0.854686245486197 
0.1,0.09,0.008,0.021359,3.547670,[0.614485052924329 0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.000499,1.382990,[] 
0.1,0.09,0.008,0.024010,3.487540,[0.614485052924329 0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.004271,3.547670,[0.940116758849463 0.890029229789306 0.527684497485102 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639 0.548344680741219 0.396923676506644 0.404045551102576 0.380710714091412] 
0.1,0.09,0.008,0.014342,3.607800,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922 0.380710714091412] 
0.1,0.09,0.008,0.007698,2.405200,[0.485208329631607 0.506011061431929 0.29839846458366 0.351327581774005 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639 0.548344680741219 0.396923676506644] 
0.1,0.09,0.008,0.011063,1.322860,[1.07218287914545 0.854686245486197 0.445376891572639] 
0.1,0.09,0.008,0.019833,2.044420,[0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.005083,3.126760,[0.292440796890994 0.614485052924329 0.485208329631607 0.506011061431929 0.29839846458366 0.351327581774005 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639 0.548344680741219 0.396923676506644 0.404045551102576 0.380710714091412] 
0.1,0.09,0.008,0.008354,2.645720,[0.485208329631607 0.506011061431929 0.29839846458366 0.773784414561788 0.496439753325042 0.358246492161155 0.445376891572639 0.548344680741219 0.396923676506644 0.404045551102576] 
0.1,0.09,0.008,0.005939,1.503250,[0.29839846458366 0.351327581774005 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639] 
0.1,0.09,0.008,0.005844,2.465330,[0.485208329631607 0.506011061431929 0.29839846458366 0.351327581774005 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639 0.548344680741219 0.396923676506644] 
0.1,0.09,0.008,0.009793,2.104550,[0.485208329631607 0.506011061431929 0.29839846458366 0.773784414561788 0.854686245486197 0.445376891572639 0.548344680741219] 
0.1,0.09,0.008,0.026376,1.082340,0.854686245486197 
0.1,0.09,0.008,0.014114,2.886240,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.012102,2.345070,[0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.396923676506644] 
0.1,0.09,0.008,0.005368,2.585590,[0.485208329631607 0.506011061431929 0.29839846458366 0.351327581774005 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639 0.548344680741219 0.396923676506644] 
0.1,0.09,0.008,0.029024,2.164680,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.012204,0.962080,0.854686245486197 
0.1,0.09,0.008,0.025294,2.345070,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.018430,3.066630,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.011279,3.066630,[0.292440796890994 0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.445376891572639 0.548344680741219 0.396923676506644 0.404045551102576 0.380710714091412] 
0.1,0.09,0.008,0.026270,2.164680,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.023503,1.082340,0.854686245486197 
0.1,0.09,0.008,0.013922,2.345070,[0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.024373,2.525460,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.026901,2.104550,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.012851,3.607800,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922 0.380710714091412] 
0.1,0.09,0.008,0.010008,2.525460,[0.485208329631607 0.506011061431929 0.29839846458366 0.773784414561788 0.854686245486197 0.445376891572639 0.548344680741219 0.396923676506644] 
0.1,0.09,0.008,0.017862,1.563380,[1.07218287914545 0.854686245486197] 
0.1,0.09,0.008,0.027002,2.104550,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.021016,2.284940,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.011298,2.946370,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.445376891572639 0.548344680741219 0.396923676506644 0.404045551102576] 
0.1,0.09,0.008,0.021997,2.345070,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.028555,1.864030,[1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.016245,1.382990,[1.07218287914545 0.854686245486197] 
0.1,0.09,0.008,0.016164,2.765980,[0.614485052924329 0.485208329631607 0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858 0.80096922760922] 
0.1,0.09,0.008,0.009309,1.683640,[0.506011061431929 0.29839846458366 0.773784414561788 0.854686245486197 0.445376891572639] 
0.1,0.09,0.008,0.002130,3.667930,[] 
0.1,0.09,0.008,0.005444,2.585590,[0.485208329631607 0.506011061431929 0.29839846458366 0.351327581774005 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639 0.548344680741219 0.396923676506644] 
0.1,0.09,0.008,0.002782,0.901950,[] 
0.1,0.09,0.008,0.013867,1.563380,[1.07218287914545 0.854686245486197] 
0.1,0.09,0.008,0.000278,1.382990,[] 
0.1,0.09,0.008,0.027373,2.104550,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.019226,1.924160,[0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.000041,1.382990,[] 
0.1,0.09,0.008,0.000908,1.503250,[] 
0.1,0.09,0.008,0.006235,1.623510,[0.506011061431929 0.29839846458366 0.351327581774005 0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639] 
0.1,0.09,0.008,0.013606,2.044420,[0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.003806,1.563380,[0.422456832787783 0.496439753325042 0.358246492161155 0.445376891572639] 
0.1,0.09,0.008,0.000258,1.082340,[] 
0.1,0.09,0.008,0.021742,2.284940,[0.991219391063536 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.010588,1.382990,[1.07218287914545 0.854686245486197 0.445376891572639] 
0.1,0.09,0.008,0.023335,1.563380,[1.07218287914545 0.854686245486197] 
0.1,0.09,0.008,0.013055,2.044420,[0.506011061431929 1.07218287914545 0.854686245486197 0.993721572313858] 
0.1,0.09,0.008,0.013051,1.563380,[1.07218287914545 0.854686245486197] 
0.1,0.09,0.008,0.001471,2.465330,[] 
0.1,0.09,0.008,0.001483,1.142470,[] 
