rand_ID,cpc,cohesin,e,time,chr_length,distances
1,0.125,0.09,0.0067,0.006834,1.082340,[] 
1,0.125,0.09,0.0067,0.014941,3.487540,[0.249291671002042 0.63453170631273 0.297568357570294 0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552 0.786461186036372 0.435863836019006 0.514656706895383] 
1,0.125,0.09,0.0067,0.027022,1.924160,[0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552] 
1,0.125,0.09,0.0067,0.017236,2.826110,[0.297568357570294 0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552 0.786461186036372 0.435863836019006] 
1,0.125,0.09,0.0067,0.025349,2.645720,[0.297568357570294 0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552 0.786461186036372 0.435863836019006] 
1,0.125,0.09,0.0067,0.022153,1.443120,[0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552] 
1,0.125,0.09,0.0067,0.017574,2.044420,[0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552 0.786461186036372] 
1,0.125,0.09,0.0067,0.007399,1.623510,1.4462976914818 
1,0.125,0.09,0.0067,0.019984,1.322860,[0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552] 
1,0.125,0.09,0.0067,0.002502,2.705850,[] 
1,0.125,0.09,0.0067,0.018768,2.886240,[0.63453170631273 0.297568357570294 0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552 0.786461186036372 0.435863836019006] 
1,0.125,0.09,0.0067,0.019817,0.901950,[0.741825995159433 0.690658602703163] 
11,0.125,0.09,0.0067,0.021892,1.082340,[0.627279423036777 0.678377896576004] 
11,0.125,0.09,0.0067,0.026721,3.487540,[0.72006405697676 0.877004792996274 1.28918424579505 0.678377896576004 0.811405263444362 0.518755793878054 0.475750488076616 0.51648251610489] 
11,0.125,0.09,0.0067,0.029466,1.924160,[1.28918424579505 1.48978316002037] 
11,0.125,0.09,0.0067,0.023067,2.826110,[0.877004792996274 0.661904822758278 0.627279423036777 0.678377896576004 0.811405263444362 0.518755793878054 0.475750488076616] 
11,0.125,0.09,0.0067,0.017439,2.645720,[0.877004792996274 0.661904822758278 0.627279423036777 0.678377896576004 0.811405263444362 0.518755793878054 0.475750488076616] 
11,0.125,0.09,0.0067,0.027841,1.443120,1.28918424579505 
11,0.125,0.09,0.0067,0.017397,2.044420,[0.661904822758278 0.627279423036777 0.678377896576004 0.811405263444362 0.518755793878054] 
11,0.125,0.09,0.0067,0.000508,1.623510,[] 
11,0.125,0.09,0.0067,0.003624,1.322860,[] 
11,0.125,0.09,0.0067,0.025868,2.705850,[0.877004792996274 1.28918424579505 0.678377896576004 0.811405263444362 0.518755793878054 0.475750488076616] 
11,0.125,0.09,0.0067,0.014520,2.886240,[0.877004792996274 0.661904822758278 0.627279423036777 0.678377896576004 0.273231902254091 0.538173361190272 0.518755793878054 0.475750488076616] 
11,0.125,0.09,0.0067,0.025331,0.901950,0.678377896576004 
13,0.12,0.09,0.0067,0.006282,1.082340,[] 
