rand_ID,cpc,cohesin,e,time,chr_length,distances
1,0.125,0.09,0.0089,0.004256,2.705850,[0.366015985791429 0.49130473829029 0.436164291450006 0.389406720298947 0.534200525642832 0.651317489643446 0.310946036062275 0.215762572674118 0.620135878958972 0.345770423638205 0.408508692041773] 
1,0.125,0.09,0.0089,0.012651,1.262730,[0.651317489643446 0.526708608736393] 
1,0.125,0.09,0.0089,0.027469,4.389490,[2.96011000980125 2.14393240097702] 
1,0.125,0.09,0.0089,0.023763,1.623510,[] 
1,0.125,0.09,0.0089,0.028778,2.465330,2.14393240097702 
11,0.125,0.09,0.0089,0.019672,2.705850,[2.30587451769114 1.47723958024988] 
11,0.125,0.09,0.0089,0.001071,1.262730,[] 
11,0.125,0.09,0.0089,0.025471,4.389490,2.30587451769114 
11,0.125,0.09,0.0089,0.028015,1.623510,[] 
11,0.125,0.09,0.0089,0.020357,2.465330,[2.30587451769114 1.47723958024988] 
21,0.125,0.09,0.0089,0.022731,2.705850,[2.37499574759834 2.19019119620236] 
21,0.125,0.09,0.0089,0.022292,1.262730,[] 
21,0.125,0.09,0.0089,0.011765,4.389490,[0.732546660636257 0.93076091071003 0.80637611975689 0.637858717131424 1.58139955105159 0.60879164515077] 
21,0.125,0.09,0.0089,0.019661,1.623510,[] 
21,0.125,0.09,0.0089,0.005135,2.465330,[0.51177173501775 0.41898917569228 0.371621943896058 0.434754175860832 0.637858717131424 0.529426743745675 0.672487803151783 0.379485004154128 0.60879164515077] 
31,0.125,0.09,0.0089,0.021181,2.705850,[0.97376851182191 1.61374803365243] 
31,0.125,0.09,0.0089,0.000954,1.262730,[] 
31,0.125,0.09,0.0089,0.008307,4.389490,[0.429611471715413 0.97376851182191 0.961575923755432 0.652172109897003 0.751429587859358 0.663994224388414 0.530027114713966 0.485011024310711 0.514505187517721] 
31,0.125,0.09,0.0089,0.001384,1.623510,[] 
31,0.125,0.09,0.0089,0.002913,2.465330,[0.465237864935064 0.493338002931237 0.468237920824194 0.202911664687181 0.449260445209822 0.481740603710886 0.269688984148473 0.360547522460475 0.303446701927939 0.530027114713966 0.108450763107634 0.376560261203077] 
41,0.125,0.09,0.0089,0.024704,2.705850,2.30370438775213 
41,0.125,0.09,0.0089,0.020844,1.262730,[] 
41,0.125,0.09,0.0089,0.009511,4.389490,[0.649234702583809 0.824328141165878 0.487573202507652 0.683662700543474 1.11096701803207 0.573831016575678 0.618906353144383 0.71899791178917] 
41,0.125,0.09,0.0089,0.028502,1.623510,[] 
41,0.125,0.09,0.0089,0.001033,2.465330,[] 
13,0.12,0.09,0.0089,0.013162,2.705850,[0.486659509214954 1.67587144048254 0.883742885872442 0.436849724440808] 
13,0.12,0.09,0.0089,0.011446,1.262730,0.883742885872442 
13,0.12,0.09,0.0089,0.022963,4.389490,3.06062232733524 
13,0.12,0.09,0.0089,0.023853,1.623510,[] 
13,0.12,0.09,0.0089,0.005605,2.465330,[0.486659509214954 0.43577900831561 0.367864835419457 0.872227596747469 0.53065865723021 0.353084228642232 0.436849724440808 0.605649443073774 0.0239357474852959] 
23,0.12,0.09,0.0089,0.014693,2.705850,[1.52020620823192 1.10663321894954 0.96999034006846 0.813967431493879 0.815569834427277] 
23,0.12,0.09,0.0089,0.013367,1.262730,[1.10663321894954 0.96999034006846] 
23,0.12,0.09,0.0089,0.019386,4.389490,[1.52020620823192 1.10663321894954 0.96999034006846 0.813967431493879 0.815569834427277] 
23,0.12,0.09,0.0089,0.021277,1.623510,0.96999034006846 
23,0.12,0.09,0.0089,0.022635,2.465330,0.96999034006846 
3,0.12,0.09,0.0089,0.008279,2.705850,[0.446860233973089 0.667149011752162 0.507858012686844 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709] 
3,0.12,0.09,0.0089,0.020389,1.262730,[] 
3,0.12,0.09,0.0089,0.019650,4.389490,[2.82187965795261 1.84393686845944 0.69463414663709] 
3,0.12,0.09,0.0089,0.004877,1.623510,[0.507858012686844 0.838558410618533 0.928944348810556 0.123473319236223] 
3,0.12,0.09,0.0089,0.003569,2.465330,[0.446860233973089 0.254847310414479 0.412301701337683 0.507858012686844 0.329141808952069 0.509416601666465 0.439330577542349 0.489613771268207 0.123473319236223 0.367504145199557 0.424015055213103 0.171390805749643] 
33,0.12,0.09,0.0089,0.014951,2.705850,[0.870393035331706 0.953663165726496 0.971426737668328 0.582934052009919 0.825484834692692] 
33,0.12,0.09,0.0089,0.028790,1.262730,[] 
33,0.12,0.09,0.0089,0.010210,4.389490,[0.927077020783797 0.870393035331706 0.953663165726496 0.53555934683715 0.435867390831178 0.582934052009919 0.825484834692692 0.437723681760172] 
33,0.12,0.09,0.0089,0.017555,1.623510,[0.953663165726496 0.971426737668328] 
33,0.12,0.09,0.0089,0.006712,2.465330,[0.321529346788954 0.548863688542752 0.400771237755484 0.552891927971012 0.53555934683715 0.435867390831178 0.582934052009919 0.825484834692692] 
43,0.12,0.09,0.0089,0.022537,2.705850,[] 
43,0.12,0.09,0.0089,0.007652,1.262730,[0.936615241028253 0.672868606604645 0.454720542092417] 
43,0.12,0.09,0.0089,0.015176,4.389490,[1.49288326282933 0.936615241028253 0.672868606604645 1.28131935729859 0.766072459345931] 
43,0.12,0.09,0.0089,0.020969,1.623510,[] 
