cpc,cohesin,e,time,chr_length,distances
0.1,0.09,0.0089,0.015541,2.705850,[1.10966334953056 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.028307,1.262730,[] 
0.1,0.09,0.0089,0.019128,4.389490,[1.10966334953056 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.028726,1.623510,[] 
0.1,0.09,0.0089,0.007219,2.465330,[0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.449878493881107 0.534061648241139 0.426934336549747] 
0.1,0.09,0.0089,0.020277,2.645720,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.008669,2.826110,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.983940142122246 0.426934336549747 0.387479924003674] 
0.1,0.09,0.0089,0.020146,3.186890,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.020845,3.667930,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.002039,2.224810,[] 
0.1,0.09,0.0089,0.007639,2.765980,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.449878493881107 0.534061648241139 0.426934336549747 0.387479924003674] 
0.1,0.09,0.0089,0.006717,3.908450,[0.309594984411762 0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.449878493881107 0.534061648241139 0.426934336549747 0.387479924003674 0.376017601347768] 
0.1,0.09,0.0089,0.020023,1.443120,[0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.025314,5.351570,2.06307624482221 
0.1,0.09,0.0089,0.010326,3.307150,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.983940142122246 0.814414260553421] 
0.1,0.09,0.0089,0.023398,4.088840,2.06307624482221 
0.1,0.09,0.0089,0.020242,4.930660,[1.10966334953056 0.953412895291648 0.840130797913756] 
0.1,0.09,0.0089,0.000200,3.247020,[] 
0.1,0.09,0.0089,0.018048,7.275730,[1.10966334953056 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.011591,6.313650,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 1.79835440267567] 
0.1,0.09,0.0089,0.027451,3.427410,2.06307624482221 
0.12,0.09,0.0089,0.000034,2.705850,[] 
0.12,0.09,0.0089,0.013872,1.262730,[0.838558410618533 0.928944348810556] 
0.12,0.09,0.0089,0.012729,4.389490,[0.808314222895068 1.17500702443901 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709] 
0.12,0.09,0.0089,0.013824,1.623510,[0.838558410618533 0.928944348810556] 
0.12,0.09,0.0089,0.023100,2.465330,[] 
0.12,0.09,0.0089,0.009671,2.645720,[0.446860233973089 1.17500702443901 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709] 
0.12,0.09,0.0089,0.023535,2.826110,[] 
0.12,0.09,0.0089,0.014136,3.186890,[0.808314222895068 1.17500702443901 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709] 
0.12,0.09,0.0089,0.001071,3.667930,[] 
0.12,0.09,0.0089,0.005273,2.224810,[0.254847310414479 0.412301701337683 0.507858012686844 0.838558410618533 0.928944348810556 0.123473319236223 0.79151920041266] 
0.12,0.09,0.0089,0.021642,2.765980,1.84393686845944 
0.12,0.09,0.0089,0.014195,3.908450,[0.808314222895068 1.17500702443901 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709] 
0.12,0.09,0.0089,0.004578,1.443120,[0.507858012686844 0.329141808952069 0.509416601666465 0.928944348810556 0.123473319236223 0.367504145199557] 
0.12,0.09,0.0089,0.010226,5.351570,[0.361453988921979 0.446860233973089 1.17500702443901 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709 0.459863969959261] 
0.12,0.09,0.0089,0.018208,3.307150,[0.808314222895068 2.01356543505754 1.84393686845944 0.69463414663709] 
0.12,0.09,0.0089,0.005748,4.088840,[0.304991036197191 0.361453988921979 0.446860233973089 0.254847310414479 0.412301701337683 0.507858012686844 0.838558410618533 0.928944348810556 0.123473319236223 0.79151920041266 0.69463414663709 0.459863969959261] 
0.12,0.09,0.0089,0.022134,4.930660,1.84393686845944 
0.12,0.09,0.0089,0.007278,3.247020,[0.361453988921979 0.446860233973089 0.254847310414479 0.412301701337683 0.507858012686844 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709 0.459863969959261] 
0.12,0.09,0.0089,0.027496,7.275730,[] 
0.12,0.09,0.0089,0.008063,6.313650,[0.361453988921979 0.446860233973089 0.667149011752162 0.507858012686844 0.838558410618533 0.928944348810556 0.914992519648882 0.69463414663709 0.459863969959261] 
0.12,0.09,0.0089,0.022942,3.427410,[] 
0.125,0.09,0.0089,0.005659,2.705850,[0.366015985791429 0.49130473829029 0.436164291450006 0.389406720298947 0.534200525642832 0.651317489643446 0.526708608736393 0.620135878958972 0.345770423638205 0.408508692041773] 
0.125,0.09,0.0089,0.008624,1.262730,[0.389406720298947 0.534200525642832 0.651317489643446 0.526708608736393] 
0.125,0.09,0.0089,0.002733,4.389490,[0.295200245057766 0.447817503269978 0.366015985791429 0.891704938978678 0.959371336703397 1.02693708805549 0.771224889283325 0.345770423638205 0.408508692041773 0.45901293350193] 
0.125,0.09,0.0089,0.017284,1.623510,1.17802609837984 
0.125,0.09,0.0089,0.020496,2.465330,[1.85107627568208 2.14393240097702] 
