CPC,cohesin, eps, alpha, normed_counts(1),normed_counts(2),normed_counts(3),normed_counts(4),counts(0),counts(1),counts(2),counts(3),counts(4), final_eq_radius
0.125,0.1,0.0096,0,5.302326e-01,3.627907e-01,9.534884e-02,1.162791e-02,1537,228,156,41,5,5.481816e-02
0.12,0.1,0.0096,0,5.404157e-01,3.556582e-01,9.468822e-02,9.237875e-03,1534,234,154,41,4,5.318514e-02
0.1,0.1,0.0096,0,5.833333e-01,3.378378e-01,6.981982e-02,9.009009e-03,1523,259,150,31,4,4.722381e-02
0.15,0.1,0.0096,0,4.927885e-01,3.798077e-01,1.129808e-01,1.442308e-02,1551,205,158,47,6,6.172786e-02
