rand_ID,cpc,cohesin,e,time,chr_length,distances
1,0.125,0.09,0.0067,0.007855,1.082340,[] 
1,0.125,0.09,0.0067,0.010060,3.487540,[0.793844740085 0.965590222225482 1.06787491669832 1.0124342074958 1.0921487775998 0.821694221307882] 
1,0.125,0.09,0.0067,0.020389,1.924160,[0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552] 
1,0.125,0.09,0.0067,0.004095,2.826110,1.7522687651531 
1,0.125,0.09,0.0067,0.021632,2.645720,[0.297568357570294 0.660831816455743 0.492552003510603 0.741825995159433 0.690658602703163 0.498636874749552 0.786461186036372 0.435863836019006] 
11,0.125,0.09,0.0067,0.003203,1.082340,[] 
11,0.125,0.09,0.0067,0.019611,3.487540,[0.72006405697676 0.877004792996274 0.661904822758278 0.627279423036777 0.678377896576004 0.811405263444362 0.518755793878054 0.475750488076616 0.51648251610489] 
11,0.125,0.09,0.0067,0.014822,1.924160,[0.661904822758278 0.627279423036777 0.678377896576004 0.273231902254091 0.538173361190272] 
11,0.125,0.09,0.0067,0.023367,2.826110,[0.877004792996274 0.661904822758278 0.627279423036777 0.678377896576004 0.811405263444362 0.518755793878054 0.475750488076616] 
11,0.125,0.09,0.0067,0.021446,2.645720,[0.877004792996274 0.661904822758278 0.627279423036777 0.678377896576004 0.811405263444362 0.518755793878054 0.475750488076616] 
21,0.125,0.09,0.0067,0.027112,1.082340,0.676090452886083 
21,0.125,0.09,0.0067,0.026726,3.487540,[0.219125979701371 0.492044435341849 0.973855154522856 0.761953968123035 0.676090452886083 1.11072696850202 0.376952364658672 0.671578209469844 0.828977294375466] 
21,0.125,0.09,0.0067,0.010023,1.924160,[0.565039144266522 0.620315767630704 0.676090452886083 0.577244473642463 0.687492215732509] 
21,0.125,0.09,0.0067,0.020958,2.826110,[0.550454210748666 0.42340094377419 0.33587513889582 0.426078829227216 0.676090452886083 0.577244473642463 0.533482494859557 0.376952364658672 0.671578209469844 0.40671872973262] 
21,0.125,0.09,0.0067,0.005933,2.645720,[1.7914782939484 1.60107458734447] 
31,0.125,0.09,0.0067,0.000916,1.082340,[] 
31,0.125,0.09,0.0067,0.022321,3.487540,[0.430225853454232 0.984240464375117 0.758416809532017 0.822878360342056 0.73362984306468 0.570755858909378 0.578468249448933 0.545632754363587 0.557005365997654] 
31,0.125,0.09,0.0067,0.014998,1.924160,[0.758416809532017 0.822878360342056 0.73362984306468 0.570755858909378 0.578468249448933] 
31,0.125,0.09,0.0067,0.014395,2.826110,[0.530942444556254 0.453298019818863 0.758416809532017 0.822878360342056 0.73362984306468 0.570755858909378 0.578468249448933 0.545632754363587] 
