cpc,cohesin,e,time,arm_length,distances
0.1,0.09,0.0075,0.015334,0.962080,0.86971310451538 
0.1,0.09,0.0075,0.022414,2.345070,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.012573,3.066630,[0.192266382030149 0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953 0.530627233873173 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.022087,3.066630,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.020558,2.164680,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.028621,1.082340,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.009219,2.345070,[0.472529959684407 0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173 0.363617354382727] 
0.1,0.09,0.0075,0.010249,2.525460,[0.472529959684407 0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173 0.363617354382727] 
0.1,0.09,0.0075,0.011588,2.104550,[0.472529959684407 0.619475666228877 0.135537129011046 0.818316124169082 0.86971310451538 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.000783,3.607800,[] 
0.1,0.09,0.0075,0.018967,2.525460,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.016922,1.563380,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.010941,2.104550,[0.472529959684407 0.619475666228877 0.135537129011046 0.818316124169082 0.86971310451538 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.012616,2.284940,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953 0.530627233873173 0.363617354382727] 
0.1,0.09,0.0075,0.013834,2.946370,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953 0.530627233873173 0.363617354382727 0.465025064340218] 
0.1,0.09,0.0075,0.009412,2.345070,[0.472529959684407 0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173 0.363617354382727] 
0.1,0.09,0.0075,0.006754,1.864030,[0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.003468,1.382990,[] 
0.1,0.09,0.0075,0.004008,2.765980,1.04829376124521 
0.1,0.09,0.0075,0.028325,1.683640,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.014735,3.667930,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.022388,2.585590,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.009303,0.901950,[0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.000230,1.563380,[] 
0.1,0.09,0.0075,0.018417,1.382990,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.010696,2.104550,[0.472529959684407 0.619475666228877 0.135537129011046 0.818316124169082 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.019409,1.924160,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.025305,1.382990,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.003030,1.503250,[] 
0.1,0.09,0.0075,0.017595,1.623510,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.017418,2.044420,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.015605,1.563380,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.013594,1.082340,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.028908,2.284940,[1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.005450,1.382990,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.016725,1.563380,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.018730,2.044420,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.000900,1.563380,[] 
0.1,0.09,0.0075,0.019202,2.465330,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.025056,1.142470,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.011812,1.022210,[0.135537129011046 0.818316124169082 0.86971310451538] 
0.1,0.09,0.0075,0.013072,1.803900,[0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953] 
0.1,0.09,0.0075,0.002536,1.202600,[] 
0.1,0.09,0.0075,0.017377,1.984290,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.026051,1.382990,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.006183,1.743770,[0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.002826,2.224810,[] 
0.1,0.09,0.0075,0.005615,2.104550,[0.872334673479814 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546] 
0.1,0.09,0.0075,0.019955,2.164680,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.021884,1.022210,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.018852,2.525460,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.013988,0.781690,[] 
0.1,0.09,0.0075,0.009390,1.262730,[0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.019162,1.864030,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.016788,1.984290,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.019826,2.224810,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.003729,2.164680,[] 
0.1,0.09,0.0075,0.020131,1.803900,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.020317,1.623510,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.027777,2.525460,[1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.024750,2.164680,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.005318,1.202600,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.028343,2.224810,[1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.005960,2.164680,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546] 
0.1,0.09,0.0075,0.006499,2.465330,[0.472529959684407 0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546] 
0.1,0.09,0.0075,0.000253,1.022210,[] 
0.1,0.09,0.0075,0.008974,1.202600,[0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.008192,1.984290,[0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.017505,1.984290,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.011836,1.443120,[0.135537129011046 0.818316124169082 0.86971310451538 0.436362172336953] 
0.1,0.09,0.0075,0.005563,2.044420,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546] 
0.1,0.09,0.0075,0.011723,0.962080,[0.818316124169082 0.86971310451538] 
0.1,0.09,0.0075,0.004613,1.864030,[1.70960169886176 0.580170448711672] 
0.1,0.09,0.0075,0.024838,1.683640,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.004468,1.803900,[1.70960169886176 0.580170448711672] 
0.1,0.09,0.0075,0.020277,2.164680,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.022382,2.645720,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.000444,2.044420,[] 
0.1,0.09,0.0075,0.004243,2.645720,[1.70960169886176 0.580170448711672 1.04829376124521] 
0.1,0.09,0.0075,0.000914,2.044420,[] 
0.1,0.09,0.0075,0.024124,1.503250,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.001405,2.525460,[] 
0.1,0.09,0.0075,0.019872,2.525460,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.013602,1.563380,[0.953853253180128 0.86971310451538 0.436362172336953] 
0.1,0.09,0.0075,0.023950,2.465330,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.010690,4.209100,[0.192266382030149 0.723116434171615 0.472529959684407 0.619475666228877 0.135537129011046 0.818316124169082 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.000755,1.322860,[] 
0.1,0.09,0.0075,0.006519,3.667930,[0.723116434171615 0.472529959684407 0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546 0.654715199439572 0.380873940163102] 
0.1,0.09,0.0075,0.021199,2.465330,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.016368,3.066630,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.025931,0.781690,[] 
0.1,0.09,0.0075,0.022028,1.743770,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.003078,2.705850,[] 
0.1,0.09,0.0075,0.028960,3.848320,[0.723116434171615 1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.022021,1.202600,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.000412,2.645720,[] 
0.1,0.09,0.0075,0.020242,3.487540,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.014470,3.547670,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.001035,3.006500,[] 
0.1,0.09,0.0075,0.003410,3.006500,[] 
0.1,0.09,0.0075,0.002283,2.886240,[] 
0.1,0.09,0.0075,0.018112,0.841820,0.86971310451538 
0.1,0.09,0.0075,0.006956,2.946370,[0.723116434171615 0.472529959684407 0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546 0.654715199439572] 
0.1,0.09,0.0075,0.004231,1.262730,1.70960169886176 
0.1,0.09,0.0075,0.015796,2.405200,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.027718,0.721560,[] 
0.1,0.09,0.0075,0.018379,1.984290,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.020552,1.683640,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.006982,1.563380,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.006161,1.743770,[0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.001112,0.841820,[] 
0.1,0.09,0.0075,0.019757,1.503250,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.015108,1.803900,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.014467,1.262730,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.025661,4.148970,[0.723116434171615 1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.028751,1.743770,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.022621,2.345070,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.007344,1.322860,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.020135,1.683640,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.022606,1.202600,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.017451,2.345070,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.024483,1.503250,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.027589,2.284940,[1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.018977,1.262730,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.000563,1.142470,[] 
0.1,0.09,0.0075,0.005486,1.924160,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.000795,2.465330,[] 
0.1,0.09,0.0075,0.027826,1.022210,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.014417,2.104550,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.023650,1.202600,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.013593,1.623510,[0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953] 
0.1,0.09,0.0075,0.014705,2.284940,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.012665,2.405200,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953 0.530627233873173 0.363617354382727] 
0.1,0.09,0.0075,0.026530,1.984290,[0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.026009,1.443120,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.018834,1.743770,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.008693,1.142470,[0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.008675,1.563380,[0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.007301,1.262730,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.020949,1.743770,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.023036,1.924160,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.024464,1.382990,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.023973,1.202600,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.007545,2.164680,[0.472529959684407 0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.023802,1.322860,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.018723,2.044420,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.006882,2.405200,[0.472529959684407 0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546] 
0.1,0.09,0.0075,0.011328,1.142470,[0.135537129011046 0.818316124169082 0.86971310451538] 
0.1,0.09,0.0075,0.013472,1.864030,[0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.014879,2.224810,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.016068,1.623510,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.010258,1.803900,[0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.008661,2.645720,[0.472529959684407 0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173 0.363617354382727 0.465025064340218] 
0.1,0.09,0.0075,0.020909,1.443120,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.027760,1.623510,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.017657,1.202600,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.017624,1.683640,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.021951,1.082340,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.011072,2.164680,[0.472529959684407 0.619475666228877 0.135537129011046 0.818316124169082 0.86971310451538 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.013467,2.405200,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953 0.530627233873173 0.363617354382727] 
0.1,0.09,0.0075,0.015134,1.803900,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.029767,1.563380,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.013391,1.683640,[0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953] 
0.1,0.09,0.0075,0.018935,2.345070,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.013644,2.164680,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.016447,2.645720,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727 0.465025064340218] 
0.1,0.09,0.0075,0.001224,2.104550,[] 
0.1,0.09,0.0075,0.023825,1.623510,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.019942,1.623510,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.005948,1.443120,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.000432,1.743770,[] 
0.1,0.09,0.0075,0.022661,0.962080,0.86971310451538 
0.1,0.09,0.0075,0.016850,3.186890,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.019423,1.503250,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.018845,1.022210,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.021800,0.962080,0.86971310451538 
0.1,0.09,0.0075,0.026340,1.443120,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.019766,1.082340,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.003581,0.962080,[] 
0.1,0.09,0.0075,0.021184,1.202600,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.013274,1.022210,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.019023,0.962080,0.86971310451538 
0.1,0.09,0.0075,0.019257,2.044420,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.029866,1.382990,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.001746,1.262730,[] 
0.1,0.09,0.0075,0.006644,1.924160,[0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.004984,0.601300,[] 
0.1,0.09,0.0075,0.027548,1.683640,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.015285,0.901950,0.86971310451538 
0.1,0.09,0.0075,0.019975,1.864030,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.019809,0.962080,0.86971310451538 
0.1,0.09,0.0075,0.002415,2.224810,[] 
0.1,0.09,0.0075,0.006676,1.803900,[0.619475666228877 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.008429,1.864030,[0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.027100,0.962080,0.86971310451538 
0.1,0.09,0.0075,0.006793,1.202600,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.007372,0.901950,[0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.020055,1.924160,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.019229,1.984290,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.020863,1.924160,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.024818,1.382990,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.021562,1.683640,[0.619475666228877 0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.000575,1.262730,[] 
0.1,0.09,0.0075,0.017305,1.322860,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.027296,2.465330,[1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.002716,1.202600,[] 
0.1,0.09,0.0075,0.016437,1.202600,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.027586,2.765980,[1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.005910,3.848320,[0.942787386605086 0.872334673479814 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546 0.654715199439572 0.380873940163102] 
0.1,0.09,0.0075,0.015567,1.503250,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.003755,2.525460,2.79899288309553 
0.1,0.09,0.0075,0.022186,1.322860,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.009323,1.683640,[0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.005545,3.066630,[1.8151220600849 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546] 
0.1,0.09,0.0075,0.029047,1.503250,[0.953853253180128 0.86971310451538] 
