cpc,cohesin,e,time,arm_length,distances
0.1,0.09,0.0075,0.014056,1.082340,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.029478,3.487540,[0.723116434171615 1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.020464,1.924160,[0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.026123,2.826110,[0.723116434171615 1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.014883,2.645720,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727 0.465025064340218] 
0.1,0.09,0.0075,0.008627,1.443120,[0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
0.1,0.09,0.0075,0.005489,2.044420,[0.872334673479814 0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.704554453156546] 
0.1,0.09,0.0075,0.028825,1.623510,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.022678,1.322860,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.028497,2.705850,[1.09200562591328 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.020128,2.886240,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.005577,0.901950,[0.442206982627208 0.532609689285687 0.337103415229693] 
0.1,0.09,0.0075,0.008690,3.547670,[0.192266382030149 0.723116434171615 0.472529959684407 0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.001744,1.382990,[] 
0.1,0.09,0.0075,0.001320,3.487540,[] 
0.1,0.09,0.0075,0.008380,3.547670,[0.192266382030149 0.723116434171615 0.472529959684407 0.619475666228877 0.135537129011046 0.376109141541874 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173 0.363617354382727 0.465025064340218 0.380873940163102] 
0.1,0.09,0.0075,0.005109,3.607800,[1.29755719153227 1.32780390599617 0.143614215736591 0.532609689285687 0.337103415229693 0.436362172336953 1.04829376124521] 
0.1,0.09,0.0075,0.020294,2.405200,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.027048,1.322860,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.010548,2.044420,[0.619475666228877 0.135537129011046 0.818316124169082 0.532609689285687 0.337103415229693 0.436362172336953 0.530627233873173] 
0.1,0.09,0.0075,0.003001,3.126760,[] 
0.1,0.09,0.0075,0.023764,2.645720,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.014037,1.503250,[0.953853253180128 0.86971310451538 0.436362172336953] 
0.1,0.09,0.0075,0.020596,2.465330,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.020467,2.104550,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126] 
0.1,0.09,0.0075,0.012627,1.082340,[0.953853253180128 0.86971310451538] 
0.1,0.09,0.0075,0.019754,2.886240,[0.723116434171615 0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.828642418722945] 
0.1,0.09,0.0075,0.018976,2.345070,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.015732,2.585590,[0.472529959684407 0.619475666228877 0.953853253180128 0.86971310451538 0.966989406210126 0.363617354382727] 
0.1,0.09,0.0075,0.005730,2.164680,[0.511646270552921 0.442206982627208 0.532609689285687 0.337103415229693 0.436362172336953] 
