cpc,cohesin,e,time,chr_length,distances
0.1,0.09,0.0067,0.024442,1.082340,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.027171,3.487540,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.820137837630682 0.376098826652637] 
0.1,0.09,0.0067,0.003809,1.924160,[] 
0.1,0.09,0.0067,0.027397,2.826110,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.820137837630682] 
0.1,0.09,0.0067,0.018967,2.645720,[0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731 0.452414439583372] 
0.1,0.09,0.0067,0.002925,1.443120,[] 
0.1,0.09,0.0067,0.008351,2.044420,[1.73801047941404 0.512315481044629] 
0.1,0.09,0.0067,0.016400,1.623510,[0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629] 
0.1,0.09,0.0067,0.028712,1.322860,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.028932,2.705850,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.820137837630682] 
0.1,0.09,0.0067,0.004726,2.886240,[] 
0.1,0.09,0.0067,0.029102,0.901950,0.794110461849515 
0.1,0.09,0.0067,0.028697,3.547670,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.820137837630682 0.376098826652637] 
0.1,0.09,0.0067,0.014551,1.382990,[0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629] 
0.1,0.09,0.0067,0.023991,3.487540,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.36772339804731 0.452414439583372 0.376098826652637] 
0.1,0.09,0.0067,0.004253,3.547670,[] 
0.1,0.09,0.0067,0.012642,3.607800,[0.71842628880598 0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 1.06547535929234] 
0.1,0.09,0.0067,0.027448,2.405200,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.023744,1.322860,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.028757,2.044420,[0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.019652,3.126760,[0.71842628880598 0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731 0.452414439583372 0.376098826652637] 
0.1,0.09,0.0067,0.001070,2.645720,[] 
0.1,0.09,0.0067,0.025446,1.503250,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.027986,2.465330,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.020337,2.104550,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 0.512315481044629 0.557540605411113] 
0.1,0.09,0.0067,0.022702,1.082340,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.022264,2.886240,[0.71842628880598 0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731 0.452414439583372] 
0.1,0.09,0.0067,0.011749,2.345070,[0.913321117596973 0.594910736343206 0.794110461849515 0.512315481044629 1.06547535929234] 
0.1,0.09,0.0067,0.019635,2.585590,[0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731] 
0.1,0.09,0.0067,0.005127,2.164680,[] 
0.1,0.09,0.0067,0.021149,0.962080,0.794110461849515 
0.1,0.09,0.0067,0.000952,2.345070,[] 
0.1,0.09,0.0067,0.008293,3.066630,[1.81371124657718 1.73801047941404 0.512315481044629 1.06547535929234] 
0.1,0.09,0.0067,0.001382,3.066630,[] 
0.1,0.09,0.0067,0.002908,2.164680,[] 
0.1,0.09,0.0067,0.024660,1.082340,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.020807,2.345070,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731] 
0.1,0.09,0.0067,0.009494,2.525460,[1.34749952032292 0.794110461849515 0.512315481044629 1.06547535929234] 
0.1,0.09,0.0067,0.028452,2.104550,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.001030,3.607800,[] 
0.1,0.09,0.0067,0.013135,2.525460,[0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113] 
0.1,0.09,0.0067,0.011423,1.563380,[1.34749952032292 0.794110461849515 0.512315481044629] 
0.1,0.09,0.0067,0.022916,2.104550,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.023804,2.284940,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574 0.36772339804731] 
0.1,0.09,0.0067,0.005592,2.946370,[] 
0.1,0.09,0.0067,0.014659,2.345070,[0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731] 
0.1,0.09,0.0067,0.013336,1.864030,[0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113] 
0.1,0.09,0.0067,0.019342,1.382990,[0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629] 
0.1,0.09,0.0067,0.021228,2.765980,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731 0.452414439583372] 
0.1,0.09,0.0067,0.022583,1.683640,[0.551814205396728 1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.008260,3.667930,[1.81371124657718 1.73801047941404 0.168926568991217 1.40886427134575] 
0.1,0.09,0.0067,0.029962,2.585590,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.019600,0.901950,[0.594910736343206 0.794110461849515] 
0.1,0.09,0.0067,0.004865,1.563380,[] 
0.1,0.09,0.0067,0.003560,1.382990,[] 
0.1,0.09,0.0067,0.014908,2.104550,[0.47093073360644 0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113] 
0.1,0.09,0.0067,0.028709,1.924160,[0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.010181,1.382990,[0.794110461849515 0.512315481044629] 
0.1,0.09,0.0067,0.017506,1.503250,[0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629] 
0.1,0.09,0.0067,0.006694,1.623510,[] 
0.1,0.09,0.0067,0.022469,2.044420,[0.551814205396728 1.01644003633256 0.794110461849515 1.06985608645574] 
0.1,0.09,0.0067,0.007628,1.563380,[] 
0.1,0.09,0.0067,0.015131,1.082340,[0.421529299989356 0.594910736343206 0.794110461849515] 
0.1,0.09,0.0067,0.020905,2.284940,[0.47093073360644 0.551814205396728 1.01644003633256 0.794110461849515 0.512315481044629 0.557540605411113 0.36772339804731] 
0.1,0.09,0.0067,0.026640,1.382990,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.028683,1.563380,[1.01644003633256 0.794110461849515] 
0.1,0.09,0.0067,0.016360,2.044420,[0.551814205396728 0.421529299989356 0.594910736343206 0.794110461849515 0.512315481044629 0.557540605411113] 
0.1,0.09,0.0067,0.004144,1.563380,[] 
0.1,0.09,0.0067,0.004463,2.465330,[] 
0.1,0.09,0.0067,0.007698,1.142470,[] 
0.1,0.09,0.0067,0.025131,1.022210,0.794110461849515 
