cpc,cohesin,e,time,chr_length,distances
0.1,0.08,0.0075,0.027280,1.082340,[] 
0.1,0.08,0.0075,0.004820,3.487540,[0.578975459917379 0.53554487969433 0.524041465806601 0.584554321590631] 
0.1,0.08,0.0075,0.022136,1.924160,[] 
0.1,0.08,0.0075,0.016667,2.826110,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.005634,2.645720,[0.578975459917379 0.53554487969433 0.524041465806601 0.584554321590631] 
0.1,0.08,0.0075,0.020694,1.443120,[] 
0.1,0.08,0.0075,0.008990,2.044420,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.018961,1.623510,1.2863469840065 
0.1,0.08,0.0075,0.007069,1.322860,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.409345041450879] 
0.1,0.08,0.0075,0.014673,2.705850,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.022736,2.886240,[] 
0.1,0.08,0.0075,0.018596,0.901950,[] 
0.1,0.08,0.0075,0.007428,3.547670,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.019583,1.382990,1.2863469840065 
0.1,0.08,0.0075,0.009915,3.487540,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.003572,3.547670,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.019688,3.607800,1.2863469840065 
0.1,0.08,0.0075,0.028395,2.405200,[] 
0.1,0.08,0.0075,0.025211,1.322860,[] 
0.1,0.08,0.0075,0.004387,2.044420,[] 
0.1,0.08,0.0075,0.020604,3.126760,[] 
0.1,0.08,0.0075,0.019905,2.645720,1.2863469840065 
0.1,0.08,0.0075,0.015297,1.503250,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.013026,2.465330,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.011493,2.104550,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.025237,1.082340,[] 
0.1,0.08,0.0075,0.007515,2.886240,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.008731,2.345070,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.016805,2.585590,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.018771,2.164680,1.2863469840065 
0.1,0.08,0.0075,0.013470,0.962080,[0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865] 
0.1,0.08,0.0075,0.025891,2.345070,[] 
0.1,0.08,0.0075,0.028572,3.066630,[] 
0.1,0.08,0.0075,0.024454,3.066630,[] 
0.1,0.08,0.0075,0.021564,2.164680,[] 
0.1,0.08,0.0075,0.003654,1.082340,[] 
0.1,0.08,0.0075,0.002483,2.345070,[] 
0.1,0.08,0.0075,0.025125,2.525460,[] 
0.1,0.08,0.0075,0.010495,2.104550,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.027115,3.607800,[] 
0.1,0.08,0.0075,0.017300,2.525460,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.001529,1.563380,[] 
0.1,0.08,0.0075,0.006454,2.104550,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.409345041450879] 
0.1,0.08,0.0075,0.004390,2.284940,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.012460,2.946370,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.026266,2.345070,[] 
0.1,0.08,0.0075,0.002782,1.864030,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.027827,1.382990,[] 
0.1,0.08,0.0075,0.028006,2.765980,[] 
0.1,0.08,0.0075,0.007941,1.683640,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.001067,3.667930,[] 
0.1,0.08,0.0075,0.013957,2.585590,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.017485,0.901950,[] 
0.1,0.08,0.0075,0.021742,1.563380,[] 
0.1,0.08,0.0075,0.009976,1.382990,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.001904,2.104550,[] 
0.1,0.08,0.0075,0.026672,1.924160,[] 
0.1,0.08,0.0075,0.024796,1.382990,[] 
0.1,0.08,0.0075,0.011154,1.503250,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.022894,1.623510,[] 
0.1,0.08,0.0075,0.013081,2.044420,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.015500,1.563380,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.016753,1.082340,[] 
0.1,0.08,0.0075,0.007341,2.284940,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.003836,1.382990,[] 
0.1,0.08,0.0075,0.018254,1.563380,1.2863469840065 
0.1,0.08,0.0075,0.018344,2.044420,1.2863469840065 
0.1,0.08,0.0075,0.007024,1.563380,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.409345041450879] 
0.1,0.08,0.0075,0.025639,2.465330,[] 
0.1,0.08,0.0075,0.003447,1.142470,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.026381,1.022210,[] 
0.1,0.08,0.0075,0.011624,1.803900,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.008961,1.202600,[0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.022504,1.984290,[] 
0.1,0.08,0.0075,0.007924,1.382990,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.015706,1.743770,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.006850,2.224810,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.409345041450879] 
0.1,0.08,0.0075,0.001685,2.104550,[] 
0.1,0.08,0.0075,0.024734,2.164680,[] 
0.1,0.08,0.0075,0.003459,1.022210,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.016191,2.525460,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.018663,0.781690,[] 
0.1,0.08,0.0075,0.000011,1.262730,[] 
0.1,0.08,0.0075,0.004887,1.864030,[0.578975459917379 0.53554487969433 0.524041465806601 0.584554321590631] 
0.1,0.08,0.0075,0.000284,1.984290,[] 
0.1,0.08,0.0075,0.022491,2.224810,[] 
0.1,0.08,0.0075,0.021019,2.164680,[] 
0.1,0.08,0.0075,0.010643,1.803900,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.020021,1.623510,1.2863469840065 
0.1,0.08,0.0075,0.002716,2.525460,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.024567,2.164680,[] 
0.1,0.08,0.0075,0.012637,1.202600,[0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.003032,2.224810,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.002913,2.164680,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.003175,2.465330,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.018471,1.022210,[] 
0.1,0.08,0.0075,0.006000,1.202600,[0.578975459917379 0.53554487969433 0.524041465806601 0.584554321590631] 
0.1,0.08,0.0075,0.012633,1.984290,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.024149,1.984290,[] 
0.1,0.08,0.0075,0.009818,1.443120,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.008157,2.044420,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.024438,0.962080,[] 
0.1,0.08,0.0075,0.006161,1.864030,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.409345041450879] 
0.1,0.08,0.0075,0.019534,1.683640,1.2863469840065 
0.1,0.08,0.0075,0.017189,1.803900,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.016820,2.164680,[1.2863469840065 1.18817959321389] 
0.1,0.08,0.0075,0.009389,2.645720,[0.163784115018298 0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428 0.256030662041891] 
0.1,0.08,0.0075,0.004346,2.044420,[0.935809687347924 0.930014080529153] 
0.1,0.08,0.0075,0.003885,2.645720,[] 
0.1,0.08,0.0075,0.025139,2.044420,[] 
0.1,0.08,0.0075,0.014159,1.503250,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.317118865141428] 
0.1,0.08,0.0075,0.006911,2.525460,[0.4049296634241 0.345872440888074 0.53554487969433 0.524041465806601 0.347019262265865 0.409345041450879] 
