alpha,epsilon,critical equilibrium radius (min),critical initial radius,Nx
0,0.0075047,0.054,0.09075,128
0,0.011257,0.064,0.10525,128
0,0.015009,0.070,0.1164,128
0,0.030019,0.095,0.1494,128
0,0.04,0.109,0.1665,128
0,0.045028,0.116,0.1745,128
0,0.060037,0.134,0.1965,128
0,0.075047,0.149,0.2165,128
0,0.090056,0.16,0.2355,128
0,0.015009,0.071,0.116375,256
0,0.0075047,0.054,0.09125,256
0,0.011257,0.064,0.102,256
0,0.0056285,0.05,0.085,256
0,0.0037523,0.042,0.075,256
0.5,0.0075046,0.052,NaN,128
0.5,0.015009,0.070,NaN,128
0.5,0.030019,0.093,NaN,128
0.5,0.045028,0.113,NaN,128
0.5,0.060038,0.13,NaN,128
0.5,0.090056,0.165,NaN,128
0.5,0.0037523,0.043,NaN,256
0.5,0.0075046,0.053,NaN,256
0.5,0.015009,0.070,NaN,256
