date,name,language,nx,epsilon,dt,tol,timesteps,max_it_CH,time (secs)
2024-06-12T13:59:06.890,droplet_R0_0.2,Julia,128,0.015009369912862116,6.25e-6,1.0e-6,160000,10000,1211.048113102
2024-06-12T14:19:18.868,droplet_R0_0.2,Julia,128,0.015009369912862116,1.25e-5,1.0e-6,80000,10000,788.694377175
2024-06-12T14:32:27.575,droplet_R0_0.2,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,40000,10000,443.481301264
2024-06-12T14:39:51.064,droplet_R0_0.2,Julia,128,0.015009369912862116,5.0e-5,1.0e-6,20000,10000,389.999890137
2024-06-12T14:46:21.071,droplet_R0_0.2,Julia,128,0.015009369912862116,0.0001,1.0e-6,10000,10000,138.466964911
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,40000,10000,471.159014128
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,40000,10000,496.387120039
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,40000,10000,450.375300504
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,40000,10000,45128.761923975
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,40000,10000,425.069168642
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,40000,10000,382.730491755
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,20000,10000,131.294400091
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,20000,10000,135.711694766
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,20000,10000,153.771321277
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,20000,10000,239.692567455
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,20000,10000,2160.159925466
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,20000,10000,230.295382221
NaN,critical radius,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,20000,10000,264.341334474
NaN,CPC_geometry,Julia,128,0.007504684956431058,1.52587890625e-6,1.0e-5,19660,10000,486.667892982
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,321.759123615
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,312.412014259
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,314.18869243
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,349.264668042
NaN,CPC_geometry,Julia,256,0.007504684956431058,1.52587890625e-6,1.0e-5,19660,10000,1372.565520062
NaN,CPC_geometry,Julia,128,0.015009369912862116,1.52587890625e-6,1.0e-5,19660,10000,174.139595015
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,1.426695126
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,0.253066694
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,0.246177698
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,0.245256027
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,10,10000,0.242926988
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,1000,10000,19.000268001
NaN,critical radius alpha,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,1000,10000,18.850063358
