c_relax,Cahn,solver,dt,max_it,max_it_CH,n_level,ns,nx,ny,time,tol
2,0.003604499,Python,0.000390625,10,1000,4,10,16,16,0.562232018,1e-10
2,0.003604499,Python,0.000390625,10,10000,4,10,16,16,0.586825848,1e-10
2,0.003604499,Python,0.000390625,10,100000,4,10,16,16,0.559520006,1e-10
2,0.003604499,Python,0.000390625,100,1000,4,10,16,16,4.569509983,1e-10
2,0.003604499,Python,0.000390625,100,10000,4,10,16,16,4.691060066,1e-10
2,0.003604499,Python,0.000390625,100,100000,4,10,16,16,4.383209944,1e-10
2,0.003604499,Python,0.000390625,1000,1000,4,10,16,16,34.22677684,1e-10
2,0.003604499,Python,0.000390625,1000,10000,4,10,16,16,34.0117929,1e-10
2,0.003604499,Python,0.000390625,1000,100000,4,10,16,16,35.24886513,1e-10
2,0.003604499,Python,0.000390625,10000,1000,4,10,16,16,325.7136049,1e-10
2,0.003604499,Python,0.000390625,10000,10000,4,10,16,16,290.6310737,1e-10
2,0.003604499,Python,0.000390625,10000,100000,4,10,16,16,285.9748192,1e-10
2,0.000901125,Python,9.77E-05,10,1000,5,10,32,32,2.256340981,1e-10
2,0.000901125,Python,9.77E-05,10,10000,5,10,32,32,2.282958746,1e-10
2,0.000901125,Python,9.77E-05,10,100000,5,10,32,32,2.401417971,1e-10
2,0.000901125,Python,9.77E-05,100,1000,5,10,32,32,19.27662182,1e-10
2,0.000901125,Python,9.77E-05,100,10000,5,10,32,32,18.54351902,1e-10
2,0.000901125,Python,9.77E-05,100,100000,5,10,32,32,18.87532806,1e-10
2,0.000901125,Python,9.77E-05,1000,1000,5,10,32,32,172.7200661,1e-10
2,0.000901125,Python,9.77E-05,1000,10000,5,10,32,32,168.2655082,1e-10
2,0.000901125,Python,9.77E-05,1000,100000,5,10,32,32,172.3029141,1e-10
2,0.000901125,Python,9.77E-05,10000,1000,5,10,32,32,898.8339252,1e-10
2,0.000901125,Python,9.77E-05,10000,10000,5,10,32,32,887.318433,1e-10
2,0.000901125,Python,9.77E-05,10000,100000,5,10,32,32,876.996345,1e-10
2,0.000901125,Python,9.77E-05,10,1000,5,10,32,32,2.277200222,1e-10
2,0.000901125,Python,9.77E-05,10,10000,5,10,32,32,2.344739199,1e-10
2,0.000901125,Python,9.77E-05,10,100000,5,10,32,32,2.399161816,1e-10
2,0.000225281,Python,2.44E-05,10,1000,6,10,64,64,10.14766717,1e-10
2,0.000225281,Python,2.44E-05,10,10000,6,10,64,64,9.399643183,1e-10
2,0.000225281,Python,2.44E-05,10,100000,6,10,64,64,9.698760271,1e-10
2,0.000225281,Python,2.44E-05,100,1000,6,10,64,64,78.4559741,1e-10
2,0.000225281,Python,2.44E-05,100,10000,6,10,64,64,79.04478288,1e-10
2,0.000225281,Python,2.44E-05,100,100000,6,10,64,64,79.86140394,1e-10
2,0.000225281,Python,2.44E-05,1000,100000,6,10,64,64,688.5660422,1e-10
2,0.000056,C,0.000002,10,1000,8,50,256,256,1.918887,1e-6
2,0.000056,C,0.000002,10,10000,8,50,256,256,1.984177,1e-6
2,0.000056,C,0.000002,10,100000,8,50,256,256,1.994262,1e-6
2,0.000056,C,0.000002,100,1000,8,50,256,256,17.228397,1e-6
2,0.000056,C,0.000002,100,10000,8,50,256,256,18.203671,1e-6
2,0.000056,C,0.000002,100,100000,8,50,256,256,18.365338,1e-6
2,0.000056,C,0.000002,1000,1000,8,50,256,256,173.4739,1e-6
2,0.000056,C,0.000002,1000,1000,8,50,256,256,186.410821,1e-6
2,0.000056,C,0.000002,1000,10000,8,50,256,256,207.324,1e-6
2,0.000056,C,0.000002,1000,100000,8,50,256,256,184.109749,1e-6
2,0.000225,C,0.000006,10,1000,7,10,128,128,0.518795,1e-6
2,0.000225,C,0.000006,10,10000,7,10,128,128,0.52059,1e-6
2,0.000225,C,0.000006,10,100000,7,10,128,128,0.510415,1e-6
2,0.000225,C,0.000006,100,1000,7,10,128,128,4.461689,1e-6
2,0.000225,C,0.000006,100,10000,7,10,128,128,4.430156,1e-6
2,0.000225,C,0.000006,100,100000,7,10,128,128,4.50038,1e-6
2,0.000225,C,0.000006,1000,1000,7,10,128,128,51.156423,1e-6
2,0.000225,C,0.000006,1000,10000,7,10,128,128,48.022809,1e-6
2,0.000225,C,0.000006,1000,100000,7,10,128,128,52.230181,1e-6
2,0.000901,C,0.000024,10,1000,6,10,64,64,0.133673,1e-6
2,0.000901,C,0.000024,10,10000,6,10,64,64,0.146043,1e-6
2,0.000901,C,0.000024,10,100000,6,10,64,64,0.138527,1e-6
2,0.000901,C,0.000024,100,1000,6,10,64,64,1.169479,1e-6
2,0.000901,C,0.000024,100,10000,6,10,64,64,1.170938,1e-6
2,0.000901,C,0.000024,100,100000,6,10,64,64,1.170698,1e-6
2,0.000901,C,0.000024,1000,1000,6,10,64,64,10.78424,1e-6
2,0.000901,C,0.000024,1000,10000,6,10,64,64,11.477246,1e-6
2,0.000901,C,0.000024,1000,100000,6,10,64,64,12.18038,1e-6
2,0.003604,C,0.000098,10,1000,5,10,32,32,0.009141,1e-6
2,0.003604,C,0.000098,10,10000,5,10,32,32,0.008989,1e-6
2,0.003604,C,0.000098,10,100000,5,10,32,32,0.008981,1e-6
2,0.003604,C,0.000098,100,1000,5,10,32,32,0.063916,1e-6
2,0.003604,C,0.000098,100,10000,5,10,32,32,0.063318,1e-6
2,0.003604,C,0.000098,100,100000,5,10,32,32,0.06124,1e-6
2,0.003604,C,0.000098,1000,1000,5,10,32,32,0.585331,1e-6
2,0.003604,C,0.000098,1000,10000,5,10,32,32,0.580481,1e-6
2,0.003604,C,0.000098,1000,100000,5,10,32,32,0.578655,1e-6
2,0.014418,C,0.000391,10,1000,4,10,16,16,0.003564,1e-6
2,0.014418,C,0.000391,10,10000,4,10,16,16,0.003432,1e-6
2,0.014418,C,0.000391,10,100000,4,10,16,16,0.003427,1e-6
2,0.014418,C,0.000391,100,1000,4,10,16,16,0.022632,1e-6
2,0.014418,C,0.000391,100,10000,4,10,16,16,0.022174,1e-6
2,0.014418,C,0.000391,100,100000,4,10,16,16,0.022373,1e-6
2,0.014418,C,0.000391,1000,1000,4,10,16,16,0.207754,1e-6
2,0.014418,C,0.000391,1000,10000,4,10,16,16,0.210654,1e-6
2,0.014418,C,0.000391,1000,100000,4,10,16,16,0.20968,1e-6
2,0.014418,C,0.000391,10000,1000,4,10,16,16,1.937515,1e-6
2,0.014418,C,0.000391,10000,10000,4,10,16,16,1.979139,1e-6
2,0.014418,C,0.000391,10000,100000,4,10,16,16,1.93878,1e-6
2,0.003604,C,0.000098,10000,1000,5,10,32,32,5.917529,1e-6
2,0.003604,C,0.000098,10000,10000,5,10,32,32,5.822871,1e-6
2,0.003604,C,0.000098,10000,100000,5,10,32,32,5.732222,1e-6
2,0.000901,C,0.000024,10000,1000,6,10,64,64,80.113447,1e-6
2,0.000901,C,0.000024,10000,10000,6,10,64,64,82.882498,1e-6
2,0.000901,C,0.000024,10000,100000,6,10,64,64,84.042937,1e-6
2,0.000225,C,0.000006,10000,1000,7,10,128,128,395.273565,1e-6
2,0.000225,C,0.000006,10000,10000,7,10,128,128,401.258134,1e-6
2,0.000225,C,0.000006,10000,100000,7,10,128,128,434.775913,1e-6
2,0.003604, Julia_error,0.00039065,10,10000,4, 10,16,16,0.495651,1e-10
2,0.003604, Julia_error,0.00039065,100,10000,4, 10,16,16,0.574912,1e-10
2,0.003604, Julia_error,0.00039065,1000,10000,4, 10,16,16,1.497077,1e-10
2,0.003604, Julia_error,0.00039065,10000,10000,4, 10,16,16,10.295863,1e-10
2,0.003604, Julia_error,0.00039065,10,100000,4, 10,16,16,0.521996,1e-10
2,0.003604, Julia_error,0.00039065,100,100000,4, 10,16,16,0.675905,1e-10
2,0.003604, Julia_error,0.00039065,1000,100000,4, 10,16,16,1.517536,1e-10
2,0.003604, Julia_error,0.00039065,10000,100000,4, 10,16,16,10.400238,1e-10
2,0.003604, Julia_error,0.00039065,10,1000,4, 10,16,16,0.466577,1e-10
2,0.003604, Julia_error,0.00039065,100,1000,4, 10,16,16,0.601635,1e-10
2,0.003604, Julia_error,0.00039065,1000,1000,4, 10,16,16,1.596990,1e-10
2,0.003604, Julia_error,0.00039065,10000,1000,4, 10,16,16,10.835444,1e-10
2,0.0009011247407245221,Julia,9.765625e-5,10,10000,5,10,32,32,0.009603706,1e-6
2,0.0009011247407245221,Julia,9.765625e-5,10,1000,5,10,32,32,0.00780093,1e-6
2,0.0009011247407245221,Julia,9.765625e-5,100,1000,5,10,32,32,0.097888505,1e-6
2,0.0009011247407245221,Julia,9.765625e-5,1000,1000,5,10,32,32,0.617733851,1e-6
2,0.0009011247407245221,Julia,9.765625e-5,10000,1000,5,10,32,32,4.422649318,1e-6
2,0.0009011247407245221,Julia,9.765625e-5,10,10000,5,10,32,32,0.007902075,1e-6
